Windspeed (m/s), Pitch, Voltage (V), Current (A), Resistance (ohm), Power (W), RPM, Load Setting
10.00,1100.00,1.35,0.11,12.53,0.14,0.00,0.00
10.00,1100.00,1.22,0.12,10.64,0.14,0.00,0.00
10.00,1100.00,1.26,0.11,11.43,0.14,0.00,0.00
10.00,1100.00,1.35,0.11,12.16,0.14,0.00,0.00
10.00,1100.00,1.20,0.10,11.55,0.13,0.00,0.00
10.00,1100.00,1.25,0.11,11.32,0.14,0.00,0.00
10.00,1100.00,1.46,0.11,13.08,0.17,0.00,0.00
10.00,1100.00,1.34,0.11,12.47,0.14,0.00,0.00
10.00,1100.00,1.28,0.10,12.35,0.13,0.00,0.00
10.00,1100.00,1.21,0.11,11.15,0.13,0.00,0.00
10.00,1100.00,1.38,0.11,12.94,0.15,0.00,0.00
10.00,1100.00,1.46,0.11,13.75,0.14,0.00,0.00
10.00,1100.00,1.25,0.11,11.36,0.14,0.00,0.00
10.00,1100.00,1.47,0.10,13.98,0.14,0.00,0.00
10.00,1100.00,1.43,0.11,12.82,0.15,0.00,0.00
10.00,1100.00,1.36,0.11,12.22,0.15,0.00,0.00
10.00,1100.00,1.25,0.10,11.94,0.13,0.00,0.00
10.00,1100.00,1.20,0.11,11.31,0.13,0.00,0.00
10.00,1100.00,1.41,0.11,12.95,0.15,0.00,0.00
10.00,1100.00,1.23,0.10,11.73,0.13,0.00,0.00
10.00,1125.00,1.15,0.10,11.23,0.13,0.00,0.00
10.00,1125.00,1.19,0.10,11.46,0.13,0.00,0.00
10.00,1125.00,1.40,0.10,13.51,0.15,0.00,0.00
10.00,1125.00,1.39,0.11,12.76,0.15,0.00,0.00
10.00,1125.00,1.34,0.11,12.32,0.14,0.00,0.00
10.00,1125.00,1.37,0.11,12.70,0.14,0.00,0.00
10.00,1125.00,1.13,0.11,10.13,0.14,0.00,0.00
10.00,1125.00,1.18,0.10,11.29,0.14,0.00,0.00
10.00,1125.00,1.22,0.10,11.90,0.13,0.00,0.00
10.00,1125.00,1.34,0.10,13.05,0.13,0.00,0.00
10.00,1125.00,1.23,0.10,11.98,0.13,0.00,0.00
10.00,1125.00,1.33,0.10,12.80,0.13,0.00,0.00
10.00,1125.00,1.33,0.10,12.62,0.14,0.00,0.00
10.00,1125.00,1.28,0.10,12.52,0.14,0.00,0.00
10.00,1125.00,1.32,0.11,11.84,0.14,0.00,0.00
10.00,1125.00,1.33,0.11,12.09,0.14,0.00,0.00
10.00,1125.00,1.64,0.11,15.05,0.19,0.00,0.00
10.00,1125.00,1.19,0.11,10.80,0.14,0.00,0.00
10.00,1125.00,1.36,0.11,12.39,0.14,0.00,0.00
10.00,1150.00,1.27,0.11,11.93,0.14,0.00,0.00
10.00,1150.00,1.35,0.11,12.67,0.15,0.00,0.00
10.00,1150.00,1.34,0.10,12.77,0.15,0.00,0.00
10.00,1150.00,1.42,0.11,13.07,0.15,0.00,0.00
10.00,1150.00,1.27,0.11,11.70,0.14,0.00,0.00
10.00,1150.00,1.18,0.11,10.72,0.13,0.00,0.00
10.00,1150.00,1.21,0.11,10.79,0.13,0.00,0.00
10.00,1150.00,1.16,0.11,10.79,0.13,0.00,0.00
10.00,1150.00,1.36,0.11,12.08,0.15,0.00,0.00
10.00,1150.00,1.28,0.11,11.38,0.14,0.00,0.00
10.00,1150.00,1.39,0.11,12.78,0.15,0.00,0.00
10.00,1150.00,1.31,0.11,12.17,0.15,0.00,0.00
