Windspeed (m/s), Pitch, Voltage (V), Current (A), Resistance (ohm), Power (W), RPM, Load Setting
11.00,1100.00,0.00,-0.00,-0.00,0.00,0.00,0.00
11.00,1100.00,0.00,-0.00,-0.00,0.00,0.00,0.00
11.00,1100.00,0.00,-0.00,-0.00,0.00,0.00,0.00
11.00,1100.00,0.00,-0.00,-1.00,0.00,0.00,0.00
11.00,1100.00,0.03,0.00,0.00,0.00,0.00,0.00
11.00,1100.00,0.11,0.01,13.00,0.00,0.00,0.00
11.00,1100.00,0.28,0.03,10.86,0.01,0.00,0.00
11.00,1100.00,0.41,0.04,11.61,0.01,0.00,0.00
11.00,1100.00,0.59,0.06,10.47,0.04,0.00,0.00
11.00,1100.00,0.77,0.07,10.88,0.05,0.00,0.00
11.00,1100.00,0.93,0.09,10.09,0.09,0.00,0.00
11.00,1100.00,1.10,0.11,10.35,0.13,0.00,0.00
11.00,1100.00,1.29,0.12,10.44,0.15,0.00,0.00
11.00,1100.00,1.49,0.14,10.67,0.20,0.00,0.00
11.00,1100.00,1.62,0.15,10.68,0.26,0.00,0.00
11.00,1100.00,1.77,0.17,10.42,0.29,0.00,0.00
11.00,1100.00,1.87,0.18,10.56,0.33,0.00,0.00
11.00,1100.00,1.98,0.20,9.94,0.40,0.00,0.00
11.00,1100.00,2.08,0.21,10.08,0.45,0.00,0.00
11.00,1100.00,2.22,0.22,9.86,0.51,0.00,0.00
11.00,1125.00,2.83,0.28,10.07,0.78,0.00,0.00
11.00,1125.00,2.83,0.28,10.30,0.79,0.00,0.00
11.00,1125.00,2.81,0.28,9.99,0.78,0.00,0.00
11.00,1125.00,2.82,0.28,10.08,0.81,0.00,0.00
11.00,1125.00,2.94,0.28,10.40,0.82,0.00,0.00
11.00,1125.00,2.86,0.28,10.08,0.81,0.00,0.00
11.00,1125.00,2.83,0.28,9.93,0.81,0.00,0.00
11.00,1125.00,2.84,0.28,10.13,0.79,0.00,0.00
11.00,1125.00,2.91,0.28,10.34,0.83,0.00,0.00
11.00,1125.00,2.87,0.29,10.02,0.81,0.00,0.00
11.00,1125.00,2.90,0.28,10.36,0.82,0.00,0.00
11.00,1125.00,2.90,0.28,10.17,0.81,0.00,0.00
11.00,1125.00,2.94,0.28,10.44,0.82,0.00,0.00
11.00,1125.00,2.92,0.28,10.39,0.82,0.00,0.00
11.00,1125.00,2.87,0.28,10.43,0.79,0.00,0.00
11.00,1125.00,2.83,0.28,10.10,0.79,0.00,0.00
11.00,1125.00,2.81,0.28,9.89,0.79,0.00,0.00
11.00,1125.00,2.89,0.28,10.33,0.81,0.00,0.00
11.00,1125.00,2.80,0.28,10.05,0.77,0.00,0.00
11.00,1150.00,2.51,0.25,10.15,0.60,0.00,0.00
11.00,1150.00,2.49,0.24,10.26,0.61,0.00,0.00
11.00,1150.00,2.57,0.25,10.33,0.63,0.00,0.00
11.00,1150.00,2.47,0.25,9.90,0.63,0.00,0.00
11.00,1150.00,2.52,0.25,9.99,0.61,0.00,0.00
11.00,1150.00,2.55,0.24,10.47,0.63,0.00,0.00
11.00,1150.00,2.49,0.24,10.24,0.61,0.00,0.00
11.00,1150.00,2.51,0.25,9.99,0.63,0.00,0.00
11.00,1150.00,2.44,0.25,9.98,0.61,0.00,0.00
11.00,1150.00,2.57,0.25,10.37,0.65,0.00,0.00
11.00,1150.00,2.65,0.26,10.36,0.68,0.00,0.00
11.00,1150.00,2.61,0.26,10.03,0.68,0.00,0.00
11.00,1150.00,2.64,0.26,10.02,0.69,0.00,0.00
11.00,1150.00,2.69,0.26,10.41,0.69,0.00,0.00
11.00,1150.00,2.69,0.26,10.20,0.72,0.00,0.00
11.00,1150.00,2.80,0.27,10.42,0.74,0.00,0.00
11.00,1150.00,2.78,0.28,10.12,0.77,0.00,0.00
11.00,1150.00,2.79,0.28,9.92,0.78,0.00,0.00
11.00,1150.00,2.82,0.28,9.94,0.78,0.00,0.00
11.00,1200.00,2.46,0.25,9.95,0.63,0.00,0.00
11.00,1200.00,2.51,0.25,10.06,0.61,0.00,0.00
11.00,1200.00,2.51,0.25,10.02,0.64,0.00,0.00
11.00,1200.00,2.54,0.25,10.32,0.61,0.00,0.00
11.00,1200.00,2.47,0.25,9.97,0.61,0.00,0.00
11.00,1200.00,2.55,0.25,10.41,0.63,0.00,0.00
11.00,1200.00,2.48,0.25,9.94,0.63,0.00,0.00
11.00,1200.00,2.49,0.24,10.37,0.60,0.00,0.00
11.00,1200.00,2.54,0.24,10.44,0.63,0.00,0.00
11.00,1200.00,2.57,0.25,10.26,0.65,0.00,0.00
11.00,1200.00,2.45,0.25,9.97,0.63,0.00,0.00
11.00,1200.00,2.48,0.25,9.90,0.63,0.00,0.00
11.00,1200.00,2.45,0.25,9.80,0.63,0.00,0.00
11.00,1200.00,2.46,0.25,9.94,0.61,0.00,0.00
11.00,1200.00,2.47,0.25,9.89,0.60,0.00,0.00
11.00,1200.00,2.52,0.24,10.39,0.61,0.00,0.00
11.00,1200.00,2.50,0.25,9.94,0.63,0.00,0.00
11.00,1200.00,2.56,0.25,10.32,0.63,0.00,0.00
11.00,1200.00,2.55,0.25,10.41,0.63,0.00,0.00
11.00,1250.00,1.97,0.19,10.08,0.40,0.00,0.00
11.00,1250.00,1.99,0.19,10.42,0.38,0.00,0.00
11.00,1250.00,2.01,0.19,10.42,0.38,0.00,0.00
11.00,1250.00,2.03,0.19,10.63,0.37,0.00,0.00
11.00,1250.00,1.96,0.19,10.10,0.37,0.00,0.00
11.00,1250.00,2.00,0.20,9.86,0.41,0.00,0.00
11.00,1250.00,1.96,0.20,9.94,0.40,0.00,0.00
11.00,1250.00,1.97,0.20,9.96,0.38,0.00,0.00
11.00,1250.00,1.96,0.20,9.90,0.37,0.00,0.00
11.00,1250.00,2.06,0.20,10.48,0.41,0.00,0.00
11.00,1250.00,1.95,0.20,9.79,0.38,0.00,0.00
11.00,1250.00,2.02,0.20,10.22,0.38,0.00,0.00
11.00,1250.00,2.02,0.19,10.49,0.38,0.00,0.00
11.00,1250.00,1.94,0.19,10.09,0.38,0.00,0.00
11.00,1250.00,1.97,0.19,10.57,0.36,0.00,0.00
11.00,1250.00,2.05,0.19,10.53,0.40,0.00,0.00
11.00,1250.00,2.06,0.19,10.63,0.38,0.00,0.00
11.00,1250.00,2.05,0.19,10.50,0.40,0.00,0.00
11.00,1250.00,2.03,0.19,10.48,0.40,0.00,0.00
11.00,1300.00,1.98,0.20,10.08,0.38,0.00,0.00
11.00,1300.00,1.99,0.19,10.61,0.37,0.00,0.00
11.00,1300.00,1.98,0.19,10.34,0.37,0.00,0.00
11.00,1300.00,2.01,0.20,10.01,0.41,0.00,0.00
11.00,1300.00,2.01,0.19,10.58,0.38,0.00,0.00
11.00,1300.00,1.93,0.20,9.77,0.38,0.00,0.00
11.00,1300.00,1.91,0.19,10.21,0.37,0.00,0.00
11.00,1300.00,1.95,0.20,9.92,0.37,0.00,0.00
11.00,1300.00,2.01,0.19,10.50,0.38,0.00,0.00
11.00,1300.00,1.94,0.20,9.90,0.38,0.00,0.00
11.00,1300.00,2.02,0.19,10.62,0.37,0.00,0.00
11.00,1300.00,1.97,0.20,9.99,0.38,0.00,0.00
11.00,1300.00,1.96,0.19,10.40,0.38,0.00,0.00
11.00,1300.00,1.90,0.19,9.85,0.36,0.00,0.00
11.00,1300.00,1.91,0.19,9.81,0.37,0.00,0.00
11.00,1300.00,2.04,0.20,10.22,0.40,0.00,0.00
11.00,1300.00,1.99,0.19,10.48,0.38,0.00,0.00
11.00,1300.00,2.02,0.20,10.29,0.38,0.00,0.00
11.00,1300.00,1.96,0.20,9.86,0.38,0.00,0.00
11.00,1350.00,1.02,0.10,10.21,0.10,0.00,0.00
11.00,1350.00,1.07,0.11,10.04,0.12,0.00,0.00
11.00,1350.00,1.12,0.10,10.84,0.12,0.00,0.00
11.00,1350.00,1.14,0.11,10.51,0.12,0.00,0.00
11.00,1350.00,1.07,0.11,10.02,0.12,0.00,0.00
11.00,1350.00,1.21,0.12,10.09,0.14,0.00,0.00
11.00,1350.00,1.24,0.12,10.74,0.15,0.00,0.00
11.00,1350.00,1.26,0.12,10.93,0.14,0.00,0.00
11.00,1350.00,1.22,0.12,9.89,0.15,0.00,0.00
11.00,1350.00,1.24,0.12,10.36,0.15,0.00,0.00
11.00,1350.00,1.32,0.13,10.14,0.18,0.00,0.00
11.00,1350.00,1.35,0.13,10.06,0.19,0.00,0.00
11.00,1350.00,1.43,0.14,10.01,0.20,0.00,0.00
11.00,1350.00,1.47,0.15,9.96,0.23,0.00,0.00
11.00,1350.00,1.42,0.14,9.90,0.22,0.00,0.00
11.00,1350.00,1.53,0.14,10.54,0.24,0.00,0.00
11.00,1350.00,1.62,0.15,10.51,0.24,0.00,0.00
11.00,1350.00,1.60,0.16,10.16,0.26,0.00,0.00
11.00,1350.00,1.55,0.15,10.61,0.23,0.00,0.00
11.00,1400.00,0.48,0.05,10.61,0.03,0.00,0.00
11.00,1400.00,0.51,0.05,10.84,0.03,0.00,0.00
11.00,1400.00,0.44,0.04,10.64,0.01,0.00,0.00
11.00,1400.00,0.47,0.04,11.36,0.01,0.00,0.00
11.00,1400.00,0.36,0.03,11.12,0.01,0.00,0.00
11.00,1400.00,0.38,0.04,10.13,0.01,0.00,0.00
11.00,1400.00,0.33,0.03,10.56,0.01,0.00,0.00
11.00,1400.00,0.38,0.04,10.93,0.01,0.00,0.00
11.00,1400.00,0.33,0.03,11.13,0.01,0.00,0.00
11.00,1400.00,0.38,0.04,10.86,0.01,0.00,0.00
11.00,1400.00,0.31,0.03,11.23,0.01,0.00,0.00
11.00,1400.00,0.35,0.03,11.32,0.01,0.00,0.00
11.00,1400.00,0.29,0.03,10.68,0.01,0.00,0.00
11.00,1400.00,0.30,0.03,10.91,0.01,0.00,0.00
11.00,1400.00,0.30,0.03,10.30,0.01,0.00,0.00
11.00,1400.00,0.26,0.03,10.45,0.00,0.00,0.00
11.00,1400.00,0.30,0.03,11.43,0.01,0.00,0.00
11.00,1400.00,0.26,0.02,12.06,0.00,0.00,0.00
11.00,1400.00,0.27,0.02,12.11,0.00,0.00,0.00
11.00,1450.00,0.00,-0.00,-0.00,0.00,0.00,0.00
11.00,1450.00,0.00,-0.00,-0.00,0.00,0.00,0.00
