Windspeed (m/s), Pitch, Voltage (V), Current (A), Resistance (ohm), Power (W), RPM, Load Setting
11.00,1100.00,5.28,0.53,9.99,2.79,9277.50,0.00
11.00,1100.00,5.33,0.53,10.03,2.85,677.50,0.00
11.00,1100.00,5.34,0.53,10.12,2.83,687.50,0.00
11.00,1100.00,5.40,0.54,10.02,2.91,690.00,0.00
11.00,1100.00,5.45,0.54,10.12,2.94,647.50,0.00
11.00,1100.00,5.40,0.53,10.12,2.88,710.00,0.00
11.00,1100.00,5.45,0.54,10.10,2.94,680.00,0.00
11.00,1100.00,5.42,0.54,10.13,2.89,657.50,0.00
11.00,1100.00,5.44,0.54,10.17,2.89,650.00,0.00
11.00,1100.00,5.48,0.54,10.12,2.94,667.50,0.00
11.00,1100.00,5.37,0.54,9.98,2.87,665.00,0.00
11.00,1100.00,5.47,0.54,10.18,2.92,690.00,0.00
11.00,1100.00,5.44,0.54,10.00,3.00,647.50,0.00
11.00,1100.00,5.47,0.54,10.15,2.93,637.50,0.00
11.00,1100.00,5.45,0.55,10.01,2.97,675.00,0.00
11.00,1100.00,5.49,0.54,10.15,2.97,707.50,0.00
11.00,1100.00,5.40,0.54,10.02,2.91,635.00,0.00
11.00,1100.00,5.42,0.53,10.19,2.92,612.50,0.00
11.00,1100.00,5.49,0.55,10.02,3.01,707.50,0.00
11.00,1100.00,5.43,0.54,10.09,2.93,677.50,0.00
11.00,1125.00,5.42,0.54,10.13,2.91,675.00,0.00
11.00,1125.00,5.43,0.54,10.12,2.89,650.00,0.00
11.00,1125.00,5.45,0.54,10.07,2.97,645.00,0.00
11.00,1125.00,5.41,0.53,10.15,2.88,640.00,0.00
11.00,1125.00,5.46,0.54,10.12,2.94,652.50,0.00
11.00,1125.00,5.48,0.54,10.14,3.00,660.00,0.00
11.00,1125.00,5.49,0.55,10.05,2.98,710.00,0.00
11.00,1125.00,5.46,0.54,10.13,2.94,670.00,0.00
11.00,1125.00,5.54,0.55,10.15,3.02,660.00,0.00
11.00,1125.00,5.41,0.54,10.00,2.97,660.00,0.00
11.00,1125.00,5.44,0.54,10.10,2.93,665.00,0.00
11.00,1125.00,5.51,0.54,10.17,2.97,660.00,0.00
11.00,1125.00,5.48,0.54,10.12,2.98,660.00,0.00
11.00,1125.00,5.46,0.54,10.11,2.94,682.50,0.00
11.00,1125.00,5.47,0.54,10.05,2.98,670.00,0.00
11.00,1125.00,5.53,0.55,10.05,3.03,665.00,0.00
11.00,1125.00,5.50,0.54,10.11,3.00,670.00,0.00
11.00,1125.00,5.45,0.54,10.06,2.97,665.00,0.00
11.00,1125.00,5.45,0.54,10.03,2.97,700.00,0.00
11.00,1150.00,4.53,0.46,9.95,2.05,607.50,0.00
11.00,1150.00,4.56,0.46,10.00,2.07,600.00,0.00
11.00,1150.00,4.57,0.46,9.94,2.10,590.00,0.00
11.00,1150.00,4.63,0.46,10.06,2.14,600.00,0.00
11.00,1150.00,4.60,0.45,10.19,2.09,595.00,0.00
11.00,1150.00,4.50,0.45,9.97,2.04,637.50,0.00
11.00,1150.00,4.65,0.45,10.28,2.09,612.50,0.00
11.00,1150.00,4.63,0.46,10.01,2.15,627.50,0.00
11.00,1150.00,4.59,0.46,9.99,2.10,670.00,0.00
11.00,1150.00,4.59,0.46,10.06,2.09,625.00,0.00
11.00,1150.00,4.61,0.45,10.21,2.09,645.00,0.00
11.00,1150.00,4.57,0.45,10.24,2.04,655.00,0.00
11.00,1150.00,4.56,0.45,10.14,2.05,640.00,0.00
11.00,1150.00,4.57,0.46,10.00,2.10,625.00,0.00
11.00,1150.00,4.53,0.45,10.03,2.04,587.50,0.00
11.00,1150.00,4.58,0.45,10.14,2.05,595.00,0.00
11.00,1150.00,4.57,0.46,9.97,2.10,605.00,0.00
11.00,1150.00,4.58,0.46,10.07,2.10,560.00,0.00
11.00,1150.00,4.57,0.45,10.08,2.06,630.00,0.00
11.00,1200.00,3.68,0.37,9.92,1.36,532.50,0.00
11.00,1200.00,3.70,0.37,10.03,1.37,532.50,0.00
11.00,1200.00,3.72,0.37,10.15,1.37,502.50,0.00
11.00,1200.00,3.77,0.37,10.32,1.37,565.00,0.00
11.00,1200.00,3.67,0.37,9.96,1.34,532.50,0.00
11.00,1200.00,3.72,0.37,10.12,1.37,532.50,0.00
