Windspeed (m/s), Pitch, Voltage (V), Current (A), Resistance (ohm), Power (W), RPM, Load Setting
11.00,1100.00,0.00,-0.00,-0.00,0.00,16190.00,0.00
11.00,1100.00,0.00,-0.00,-0.00,0.00,857.50,0.00
11.00,1100.00,0.00,-0.00,-0.00,0.00,817.50,0.00
11.00,1100.00,0.00,-0.00,-0.00,0.00,870.00,0.00
11.00,1100.00,0.00,-0.00,-0.00,0.00,845.00,0.00
11.00,1100.00,0.00,-0.00,-0.00,0.00,810.00,0.00
11.00,1100.00,0.00,-0.00,-0.00,0.00,847.50,0.00
11.00,1100.00,0.00,-0.00,-0.00,0.00,860.00,0.00
11.00,1100.00,0.00,-0.00,-0.00,0.00,875.00,0.00
11.00,1100.00,0.00,-0.00,-0.00,0.00,917.50,0.00
11.00,1100.00,0.00,-0.00,-0.00,0.00,872.50,0.00
11.00,1100.00,0.00,-0.00,-0.00,0.00,897.50,0.00
11.00,1100.00,0.00,-0.00,-0.00,0.00,892.50,0.00
11.00,1100.00,0.00,-0.00,-0.00,0.00,910.00,0.00
11.00,1100.00,0.00,-0.00,-0.00,0.00,887.50,0.00
11.00,1100.00,0.00,-0.00,-0.00,0.00,880.00,0.00
11.00,1100.00,0.00,-0.00,-0.00,0.00,887.50,0.00
11.00,1100.00,0.00,-0.00,-0.00,0.00,905.00,0.00
11.00,1100.00,0.00,-0.00,-0.00,0.00,915.00,0.00
11.00,1100.00,0.00,-0.00,-0.00,0.00,915.00,0.00
11.00,1125.00,0.00,-0.00,-0.00,0.00,805.00,0.00
11.00,1125.00,0.00,-0.00,-0.00,0.00,807.50,0.00
11.00,1125.00,0.00,-0.00,-0.00,0.00,772.50,0.00
11.00,1125.00,0.00,-0.00,-0.00,0.00,805.00,0.00
11.00,1125.00,0.00,-0.00,-0.00,0.00,800.00,0.00
11.00,1125.00,0.00,-0.00,-0.00,0.00,767.50,0.00
11.00,1125.00,0.00,-0.00,-0.00,0.00,815.00,0.00
11.00,1125.00,0.00,-0.00,-0.00,0.00,792.50,0.00
11.00,1125.00,0.00,-0.00,-0.00,0.00,805.00,0.00
11.00,1125.00,0.00,-0.00,-0.00,0.00,822.50,0.00
11.00,1125.00,0.00,-0.00,-0.00,0.00,815.00,0.00
11.00,1125.00,0.00,-0.00,-0.00,0.00,797.50,0.00
11.00,1125.00,0.00,-0.00,-0.00,0.00,797.50,0.00
11.00,1125.00,0.00,-0.00,-0.00,0.00,812.50,0.00
11.00,1125.00,0.00,-0.00,-0.00,0.00,810.00,0.00
