Windspeed (m/s),chart, Voltage (V), Current (A), Resistance (ohm), Power (W), RPM, Load Setting
5,1100,0,0,0,0,40,0
5,1100,0,0,0,0,0,0
5,1100,0,0,0,0,0,0
5,1100,0,0,0,0,0,0
5,1100,0,0,0,0,0,0
5,1100,0,0,0,0,0,0
5,1100,0,0,0,0,0,0
5,1100,0,0,0,0,0,0
5,1100,0,0,0,0,0,0
5,1100,0,0,0,0,0,0
5,1100,0,0,0,0,0,0
5,1100,0,0,0,0,0,0
5,1100,0,0,0,0,0,0
5,1100,0,0,0,0,0,0
5,1100,0,0,0,0,0,0
5,1100,0,0,0,0,0,0
5,1100,0,0,0,0,0,0
5,1100,0,-0.01,0,0,0,0
5,1100,0,0,0,0,0,0
5,1100,0,0,0,0,0,0
5,1150,0,0,0,0,0,0
5,1150,0,0,0,0,0,0
5,1150,0,0,0,0,0,0
5,1150,0,0,0,0,0,0
5,1150,0,0,0,0,0,0
5,1150,0,0,0,0,0,0
5,1150,0,0,0,0,0,0
5,1150,0,0,0,0,0,0
5,1150,0,0,0,0,0,0
5,1150,0,0,0,0,0,0
5,1150,0,0,0,0,0,0
5,1150,0,0,0,0,0,0
5,1150,0,0,0,0,0,0
5,1150,0,0,0,0,0,0
5,1150,0,0,0,0,0,0
5,1150,0,0,0,0,0,0
5,1150,0,0,0,0,0,0
5,1150,0,0,0,0,0,0
5,1150,0,0,0,0,0,0
5,1200,0.52,0.01,34.83,0.01,115,0
5,1200,0.39,0.01,25.92,0.01,120,0
5,1200,0.54,0.01,36.17,0.01,125,0
5,1200,0.65,0.02,34.47,0.01,132.5,0
5,1200,0.6,0.02,26.44,0.01,137.5,0
5,1200,0.78,0.02,34.83,0.01,145,0
5,1200,0.78,0.03,29.81,0.03,150,0
5,1200,0.85,0.03,26.15,0.04,157.5,0
5,1200,1.09,0.04,31,0.04,162.5,0
5,1200,1.13,0.04,30.27,0.04,170,0
5,1200,1.14,0.03,33.74,0.04,175,0
5,1200,1.12,0.04,26.24,0.04,180,0
5,1200,1.35,0.04,30.83,0.05,185,0
5,1200,1.35,0.05,28.34,0.06,190,0
5,1200,1.42,0.04,32.4,0.06,195,0
5,1200,1.47,0.04,33.63,0.06,200,0
5,1200,1.35,0.05,26.39,0.08,200,0
5,1200,1.54,0.05,28.09,0.08,205,0
5,1200,1.6,0.06,28.38,0.09,207.5,0
5,1250,1.8,0.06,27.65,0.12,227.5,0
5,1250,1.86,0.06,33.02,0.1,225,0
5,1250,1.58,0.06,25.76,0.09,222.5,0
5,1250,1.83,0.06,31.83,0.09,222.5,0
5,1250,1.53,0.06,27.24,0.09,220,0
5,1250,1.77,0.06,30.87,0.1,217.5,0
5,1250,1.72,0.06,30.56,0.08,217.5,0
5,1250,1.74,0.06,30.89,0.1,215,0
5,1250,1.68,0.05,31.21,0.08,215,0
5,1250,1.38,0.05,25.6,0.09,212.5,0
5,1250,1.62,0.06,28.15,0.08,207.5,0
5,1250,1.43,0.05,30.08,0.06,207.5,0
5,1250,1.49,0.05,33.06,0.06,205,0
5,1250,1.48,0.05,27.49,0.06,202.5,0
5,1250,1.42,0.04,32.51,0.06,200,0
5,1250,1.22,0.05,27.11,0.05,197.5,0
5,1250,1.32,0.05,27.03,0.06,195,0
5,1250,1.41,0.04,33.15,0.05,192.5,0
5,1250,1.31,0.04,32.69,0.06,190,0
5,1300,2.57,0.09,28.53,0.24,292.5,0
5,1300,2.44,0.1,24.75,0.26,295,0
5,1300,2.54,0.09,26.72,0.26,300,0
5,1300,2.79,0.09,29.76,0.24,297.5,0
5,1300,2.51,0.1,25.78,0.24,300,0
5,1300,2.8,0.1,29.12,0.24,302.5,0
5,1300,2.52,0.1,25.51,0.27,302.5,0
5,1300,2.77,0.09,30.81,0.27,302.5,0
5,1300,2.8,0.09,30.71,0.27,305,0
5,1300,2.85,0.1,29.23,0.28,305,0
5,1300,2.6,0.1,25.67,0.27,305,0
5,1300,2.91,0.1,29.52,0.27,305,0
5,1300,2.82,0.1,28.54,0.28,305,0
5,1300,2.7,0.1,26.72,0.26,307.5,0
5,1300,2.73,0.09,30.29,0.26,305,0
5,1300,2.79,0.1,27.18,0.27,307.5,0
5,1300,2.64,0.1,26.78,0.28,310,0
5,1300,2.96,0.1,29.56,0.29,307.5,0
5,1300,2.9,0.09,31.41,0.29,307.5,0
5,1350,2.08,0.07,30.87,0.15,252.5,0
5,1350,2.12,0.07,32.08,0.14,252.5,0
5,1350,1.91,0.07,25.97,0.14,252.5,0
5,1350,2.24,0.07,32.53,0.14,250,0
5,1350,1.98,0.07,27.82,0.15,255,0
5,1350,2.11,0.08,26.73,0.14,255,0
5,1350,1.97,0.07,26.76,0.17,250,0
5,1350,1.87,0.07,26.75,0.13,252.5,0
5,1350,2.14,0.07,32.28,0.14,252.5,0
5,1350,2.24,0.08,28.89,0.15,252.5,0
5,1350,2.1,0.07,31.66,0.17,252.5,0
5,1350,2.17,0.08,28.43,0.15,250,0
5,1350,2.18,0.07,32.85,0.14,252.5,0
5,1350,1.9,0.07,25.75,0.14,250,0
5,1350,2.03,0.07,28.96,0.15,252.5,0
5,1350,2.24,0.08,29.36,0.17,255,0
5,1350,2.14,0.07,31.13,0.15,252.5,0
5,1350,1.96,0.08,25.26,0.17,255,0
5,1350,1.97,0.07,27.67,0.15,257.5,0
5,1400,1.62,0.06,28.76,0.09,207.5,0
5,1400,1.63,0.05,32.6,0.08,207.5,0
5,1400,1.36,0.05,26.56,0.08,207.5,0
5,1400,1.66,0.06,29.53,0.08,207.5,0
5,1400,1.67,0.05,31.07,0.09,207.5,0
5,1400,1.5,0.06,26.6,0.09,207.5,0
5,1400,1.55,0.05,32.68,0.08,207.5,0
5,1400,1.37,0.05,25.42,0.09,210,0
5,1400,1.65,0.06,29.42,0.08,210,0
5,1400,1.47,0.06,25.61,0.09,210,0
5,1400,1.38,0.05,27,0.09,210,0
5,1400,1.55,0.06,26.43,0.1,210,0
5,1400,1.48,0.05,30.38,0.09,210,0
5,1400,1.37,0.05,27.47,0.08,210,0
5,1400,1.47,0.05,27.3,0.09,210,0
5,1400,1.66,0.06,28.96,0.09,210,0
5,1400,1.61,0.05,31.41,0.06,210,0
5,1400,1.49,0.05,28.4,0.08,212.5,0
5,1400,1.7,0.06,28.98,0.09,212.5,0
5,1450,0.8,0.02,33.68,0.01,142.5,0
5,1450,0.67,0.02,28,0.01,142.5,0
5,1450,0.69,0.02,34.5,0.01,142.5,0
5,1450,0.73,0.03,26.45,0.03,142.5,0
5,1450,0.74,0.02,34.76,0.01,142.5,0
5,1450,0.81,0.03,30.71,0.03,142.5,0
5,1450,0.81,0.03,32.4,0.03,142.5,0
5,1450,0.79,0.03,31.6,0.01,145,0
5,1450,0.65,0.02,27.58,0.01,145,0
5,1450,0.68,0.02,28.53,0.01,145,0
5,1450,0.85,0.03,30.82,0.03,147.5,0
5,1450,0.76,0.02,35.59,0.01,145,0
5,1450,0.66,0.03,26.4,0.03,145,0
5,1450,0.62,0.02,29,0.01,145,0
5,1450,0.82,0.03,27.21,0.03,145,0
5,1450,0.76,0.02,32.11,0.01,145,0
5,1450,0.83,0.03,33.2,0.01,147.5,0
5,1450,0.85,0.03,32.24,0.03,147.5,0
5,1450,0.76,0.02,36,0.01,145,0
5,1480,0.68,0.03,27.05,0.01,142.5,0
5,1480,0.71,0.03,28.6,0.01,142.5,0
5,1480,0.75,0.02,31.79,0.01,140,0
5,1480,0.66,0.03,26.35,0.01,140,0
5,1480,0.66,0.03,26.5,0.01,140,0
5,1480,0.56,0.02,26.47,0.01,140,0
5,1480,0.6,0.02,34.21,0.01,142.5,0
5,1480,0.62,0.03,24.85,0.01,142.5,0
5,1480,0.66,0.03,26.45,0.03,140,0
5,1480,0.68,0.03,27.25,0.01,142.5,0
5,1480,0.7,0.02,33,0.01,140,0
5,1480,0.6,0.02,32.2,0.01,142.5,0
5,1480,0.74,0.03,29.45,0.01,142.5,0
5,1480,0.73,0.02,30.68,0.01,142.5,0
5,1480,0.77,0.03,27.95,0.03,142.5,0
5,1480,0.6,0.02,26.56,0.01,145,0
5,1480,0.73,0.02,34.29,0.01,145,0
5,1480,0.63,0.02,31.38,0.01,145,0
5,1480,0.77,0.03,30.85,0.01,145,0
