Windspeed (m/s), Voltage (V), Current (A), Resistance (ohm), Power (W), RPM, Pitch, Load Setting
7.330000000000000071e+00,3.871249914169311523e+00,2.399999946355819702e-01,1.613020833624371519e+01,9.290999586336319283e-01,5.303750000000000000e+03,1.100000000000000000e+03,0.000000000000000000e+00
7.330000000000000071e+00,3.857500076293945312e+00,2.387499958276748657e-01,1.615706866473922076e+01,9.209781271204349196e-01,5.587500000000000000e+02,1.100000000000000000e+03,0.000000000000000000e+00
7.330000000000000071e+00,4.126249790191650391e+00,2.224999964237213135e-01,1.854494317534173220e+01,9.180905635610230320e-01,5.650000000000000000e+02,1.100000000000000000e+03,0.000000000000000000e+00
7.330000000000000071e+00,4.126249790191650391e+00,2.262499928474426270e-01,1.823756870999737956e+01,9.335639855176225410e-01,5.487500000000000000e+02,1.100000000000000000e+03,0.000000000000000000e+00
7.330000000000000071e+00,4.087500095367431641e+00,2.237499952316284180e-01,1.826815724011974851e+01,9.145781268477435333e-01,5.150000000000000000e+02,1.100000000000000000e+03,0.000000000000000000e+00
7.330000000000000071e+00,4.103750228881835938e+00,2.224999964237213135e-01,1.844382154985205347e+01,9.130844112500540177e-01,5.425000000000000000e+02,1.100000000000000000e+03,0.000000000000000000e+00
7.330000000000000071e+00,4.051249980926513672e+00,2.249999940395355225e-01,1.800555594776884405e+01,9.115312215611339752e-01,5.425000000000000000e+02,1.100000000000000000e+03,0.000000000000000000e+00
7.330000000000000071e+00,4.071249961853027344e+00,2.237499952316284180e-01,1.819553094353555167e+01,9.109421595513822467e-01,5.425000000000000000e+02,1.100000000000000000e+03,0.000000000000000000e+00
7.330000000000000071e+00,4.057499885559082031e+00,2.237499952316284180e-01,1.813407808728091553e+01,9.078655800461774561e-01,5.312500000000000000e+02,1.100000000000000000e+03,0.000000000000000000e+00
7.330000000000000071e+00,3.972500085830688477e+00,2.287500053644180298e-01,1.736612018654233935e+01,9.087094159439210728e-01,5.562500000000000000e+02,1.100000000000000000e+03,0.000000000000000000e+00
7.330000000000000071e+00,3.782500028610229492e+00,2.362499982118606567e-01,1.601058225286510606e+01,8.936156249955296005e-01,5.865000000000000000e+03,1.200000000000000000e+03,0.000000000000000000e+00
7.330000000000000071e+00,4.041250228881835938e+00,2.249999940395355225e-01,1.796111260417070810e+01,9.092812774106846518e-01,5.250000000000000000e+02,1.200000000000000000e+03,0.000000000000000000e+00
7.330000000000000071e+00,3.867500066757202148e+00,2.399999946355819702e-01,1.611458397167736223e+01,9.281999952748414273e-01,5.325000000000000000e+02,1.200000000000000000e+03,0.000000000000000000e+00
7.330000000000000071e+00,4.168749809265136719e+00,2.237499952316284180e-01,1.863128446080904510e+01,9.327577499449262177e-01,5.325000000000000000e+02,1.200000000000000000e+03,0.000000000000000000e+00
7.330000000000000071e+00,4.176249980926513672e+00,2.249999940395355225e-01,1.856111151804159931e+01,9.396562208160759155e-01,5.362500000000000000e+02,1.200000000000000000e+03,0.000000000000000000e+00
7.330000000000000071e+00,3.888750076293945312e+00,2.437500059604644775e-01,1.595384607672456490e+01,9.478828542754058617e-01,5.362500000000000000e+02,1.200000000000000000e+03,0.000000000000000000e+00
7.330000000000000071e+00,4.002500057220458984e+00,2.362499982118606567e-01,1.694179931223177604e+01,9.455906313613056113e-01,5.525000000000000000e+02,1.200000000000000000e+03,0.000000000000000000e+00
7.330000000000000071e+00,3.940000057220458984e+00,2.412499934434890747e-01,1.633160689864795145e+01,9.505249879717823092e-01,5.375000000000000000e+02,1.200000000000000000e+03,0.000000000000000000e+00
7.330000000000000071e+00,3.963749885559082031e+00,2.362499982118606567e-01,1.677777742036015241e+01,9.364359033755960127e-01,5.525000000000000000e+02,1.200000000000000000e+03,0.000000000000000000e+00
7.330000000000000071e+00,3.984999895095825195e+00,2.325000017881393433e-01,1.713978436321506393e+01,9.265124827355144532e-01,5.350000000000000000e+02,1.200000000000000000e+03,0.000000000000000000e+00
7.330000000000000071e+00,3.861249923706054688e+00,2.412499934434890747e-01,1.600518146588270341e+01,9.315265187777583833e-01,5.795000000000000000e+03,1.300000000000000000e+03,0.000000000000000000e+00
7.330000000000000071e+00,4.078750133514404297e+00,2.275000065565109253e-01,1.792857149874958012e+01,9.279156821168967895e-01,5.262500000000000000e+02,1.300000000000000000e+03,0.000000000000000000e+00
7.330000000000000071e+00,4.063749790191650391e+00,2.275000065565109253e-01,1.786263592560475999e+01,9.245031039126203609e-01,5.425000000000000000e+02,1.300000000000000000e+03,0.000000000000000000e+00
7.330000000000000071e+00,3.906250000000000000e+00,2.349999994039535522e-01,1.662234046769228613e+01,9.179687476716935635e-01,5.487500000000000000e+02,1.300000000000000000e+03,0.000000000000000000e+00
7.330000000000000071e+00,3.862499952316284180e+00,2.349999994039535522e-01,1.643617005154470334e+01,9.076874864920974062e-01,5.237500000000000000e+02,1.300000000000000000e+03,0.000000000000000000e+00
7.330000000000000071e+00,3.957499980926513672e+00,2.287500053644180298e-01,1.730054595899083125e+01,9.052781418666242530e-01,5.687500000000000000e+02,1.300000000000000000e+03,0.000000000000000000e+00
7.330000000000000071e+00,4.139999866485595703e+00,2.212499976158142090e-01,1.871186400496341662e+01,9.159749605894091928e-01,5.112500000000000000e+02,1.300000000000000000e+03,0.000000000000000000e+00
7.330000000000000071e+00,3.960000038146972656e+00,2.325000017881393433e-01,1.703225809759536347e+01,9.207000159502030101e-01,5.387500000000000000e+02,1.300000000000000000e+03,0.000000000000000000e+00
7.330000000000000071e+00,3.835000038146972656e+00,2.362499982118606567e-01,1.623280451713646144e+01,9.060187521547078404e-01,5.250000000000000000e+02,1.300000000000000000e+03,0.000000000000000000e+00
7.330000000000000071e+00,3.822499990463256836e+00,2.399999946355819702e-01,1.592708364959496414e+01,9.173999772056937729e-01,5.125000000000000000e+02,1.300000000000000000e+03,0.000000000000000000e+00
7.330000000000000071e+00,4.043749809265136719e+00,2.249999940395355225e-01,1.797222185061300692e+01,9.098436829820286675e-01,5.896250000000000000e+03,1.400000000000000000e+03,0.000000000000000000e+00
7.330000000000000071e+00,3.859999895095825195e+00,2.362499982118606567e-01,1.633862401824999466e+01,9.119249683141710250e-01,5.225000000000000000e+02,1.400000000000000000e+03,0.000000000000000000e+00
7.330000000000000071e+00,4.054999828338623047e+00,2.275000065565109253e-01,1.782417455593067146e+01,9.225124875336874197e-01,5.325000000000000000e+02,1.400000000000000000e+03,0.000000000000000000e+00
7.330000000000000071e+00,4.108749866485595703e+00,2.275000065565109253e-01,1.806043845306432516e+01,9.347406215645364114e-01,5.450000000000000000e+02,1.400000000000000000e+03,0.000000000000000000e+00
7.330000000000000071e+00,3.891249895095825195e+00,2.437500059604644775e-01,1.596410174335328769e+01,9.484921851232641643e-01,5.337500000000000000e+02,1.400000000000000000e+03,0.000000000000000000e+00
7.330000000000000071e+00,4.206250190734863281e+00,2.249999940395355225e-01,1.869444578738863783e+01,9.464062678441393928e-01,5.275000000000000000e+02,1.400000000000000000e+03,0.000000000000000000e+00
7.330000000000000071e+00,4.151249885559082031e+00,2.275000065565109253e-01,1.824725171833308579e+01,9.444093761824063904e-01,5.525000000000000000e+02,1.400000000000000000e+03,0.000000000000000000e+00
7.330000000000000071e+00,4.144999980926513672e+00,2.275000065565109253e-01,1.821977961084980180e+01,9.429875228375195206e-01,5.425000000000000000e+02,1.400000000000000000e+03,0.000000000000000000e+00
7.330000000000000071e+00,4.067500114440917969e+00,2.300000041723251343e-01,1.768478278545327953e+01,9.355250432923440940e-01,5.300000000000000000e+02,1.400000000000000000e+03,0.000000000000000000e+00
7.330000000000000071e+00,4.138750076293945312e+00,2.262499928474426270e-01,1.829281859506908248e+01,9.363921751588577536e-01,5.537500000000000000e+02,1.400000000000000000e+03,0.000000000000000000e+00
7.330000000000000071e+00,3.942500114440917969e+00,2.337500005960464478e-01,1.686631060700668883e+01,9.215594041004777637e-01,5.962500000000000000e+03,1.480000000000000000e+03,0.000000000000000000e+00
7.330000000000000071e+00,3.869999885559082031e+00,2.437500059604644775e-01,1.587692221918051771e+01,9.433124951720230911e-01,5.525000000000000000e+02,1.480000000000000000e+03,0.000000000000000000e+00
7.330000000000000071e+00,3.948750019073486328e+00,2.337500005960464478e-01,1.689304816686393451e+01,9.230203193120658511e-01,5.225000000000000000e+02,1.480000000000000000e+03,0.000000000000000000e+00
7.330000000000000071e+00,3.984999895095825195e+00,2.312500029802322388e-01,1.723243175670995342e+01,9.215312376171347353e-01,5.150000000000000000e+02,1.480000000000000000e+03,0.000000000000000000e+00
7.330000000000000071e+00,4.030000209808349609e+00,2.287500053644180298e-01,1.761748684284496491e+01,9.218625696122657587e-01,5.575000000000000000e+02,1.480000000000000000e+03,0.000000000000000000e+00
7.330000000000000071e+00,3.913749933242797852e+00,2.387499958276748657e-01,1.639267016393025145e+01,9.344077802322807713e-01,5.437500000000000000e+02,1.480000000000000000e+03,0.000000000000000000e+00
7.330000000000000071e+00,4.130000114440917969e+00,2.224999964237213135e-01,1.856179856549699991e+01,9.189250106930728634e-01,5.262500000000000000e+02,1.480000000000000000e+03,0.000000000000000000e+00
7.330000000000000071e+00,4.021249771118164062e+00,2.275000065565109253e-01,1.767582266033599936e+01,9.148343492947503819e-01,5.325000000000000000e+02,1.480000000000000000e+03,0.000000000000000000e+00
7.330000000000000071e+00,4.107500076293945312e+00,2.224999964237213135e-01,1.846067479691893709e+01,9.139187522858378543e-01,5.337500000000000000e+02,1.480000000000000000e+03,0.000000000000000000e+00
7.330000000000000071e+00,3.983750104904174805e+00,2.287500053644180298e-01,1.741530059663922358e+01,9.112828578673308755e-01,5.362500000000000000e+02,1.480000000000000000e+03,0.000000000000000000e+00
7.330000000000000071e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00
