Windspeed (m/s), Pitch, Voltage (V), Current (A), Resistance (ohm), Power (W), RPM, Pitch, Load Setting
8.00,1100.00,0.00,0.02,0.00,0.00,2017.50,1100.00,0.00
8.00,1100.00,0.00,0.02,0.00,0.00,172.50,1100.00,0.00
8.00,1100.00,0.00,0.03,0.00,0.00,173.75,1100.00,0.00
8.00,1100.00,0.11,0.02,5.62,0.00,183.75,1100.00,0.00
8.00,1100.00,0.07,0.02,3.62,0.00,167.50,1100.00,0.00
8.00,1100.00,1.05,0.02,46.89,0.02,172.50,1100.00,0.00
8.00,1100.00,0.00,0.02,0.00,0.00,170.00,1100.00,0.00
8.00,1100.00,0.00,0.01,0.00,0.00,176.25,1100.00,0.00
8.00,1100.00,0.00,0.02,0.00,0.00,168.75,1100.00,0.00
8.00,1100.00,0.00,0.02,0.00,0.00,166.25,1100.00,0.00
8.00,1150.00,0.09,0.05,1.83,0.00,2242.50,1150.00,0.00
8.00,1150.00,0.74,0.04,18.03,0.03,230.00,1150.00,0.00
8.00,1150.00,0.90,0.05,17.21,0.05,223.75,1150.00,0.00
8.00,1150.00,0.00,0.05,0.00,0.00,231.25,1150.00,0.00
8.00,1150.00,0.00,0.05,0.00,0.00,221.25,1150.00,0.00
8.00,1150.00,0.00,0.05,0.00,0.00,235.00,1150.00,0.00
8.00,1150.00,0.00,0.05,0.00,0.00,235.00,1150.00,0.00
8.00,1150.00,0.08,0.04,1.76,0.00,227.50,1150.00,0.00
8.00,1150.00,0.05,0.05,1.06,0.00,225.00,1150.00,0.00
8.00,1150.00,1.09,0.04,25.62,0.05,206.25,1150.00,0.00
8.00,1200.00,0.00,0.05,0.00,0.00,2425.00,1200.00,0.00
8.00,1200.00,0.00,0.05,0.00,0.00,236.25,1200.00,0.00
8.00,1200.00,0.00,0.04,0.00,0.00,218.75,1200.00,0.00
8.00,1200.00,0.00,0.04,0.00,0.00,220.00,1200.00,0.00
8.00,1200.00,0.08,0.05,1.78,0.00,232.50,1200.00,0.00
8.00,1200.00,0.20,0.04,5.13,0.01,228.75,1200.00,0.00
8.00,1200.00,1.04,0.05,20.75,0.05,217.50,1200.00,0.00
8.00,1200.00,0.08,0.05,1.65,0.00,217.50,1200.00,0.00
8.00,1200.00,0.00,0.04,0.00,0.00,210.00,1200.00,0.00
8.00,1200.00,0.00,0.04,0.00,0.00,222.50,1200.00,0.00
