Windspeed (m/s), Pitch, Voltage (V), Current (A), Resistance (ohm), Power (W), RPM, Load Setting
1.050000000000000000e+01,1.100000000000000000e+03,1.267500042915344238e+00,7.750000059604644775e-02,1.635483913764000619e+01,9.823125408142807657e-02,3.725000000000000000e+02,0.000000000000000000e+00
1.050000000000000000e+01,1.100000000000000000e+03,1.737499952316284180e+00,8.375000208616256714e-02,2.074626757058146254e+01,1.455156246311961610e-01,3.500000000000000000e+02,0.000000000000000000e+00
1.050000000000000000e+01,1.100000000000000000e+03,1.986250042915344238e+00,1.250000000000000000e-01,1.589000034332275391e+01,2.482812553644180298e-01,4.262500000000000000e+02,0.000000000000000000e+00
1.050000000000000000e+01,1.100000000000000000e+03,2.493750095367431641e+00,1.324999928474426270e-01,1.882075645270922237e+01,3.304218697994940612e-01,4.887500000000000000e+02,0.000000000000000000e+00
1.050000000000000000e+01,1.100000000000000000e+03,2.488749980926513672e+00,1.550000011920928955e-01,1.605645136635956050e+01,3.857562500104307901e-01,5.262500000000000000e+02,0.000000000000000000e+00
1.050000000000000000e+01,1.100000000000000000e+03,2.701250076293945312e+00,1.387500017881393433e-01,1.946846876743503074e+01,3.747984529159964495e-01,5.637500000000000000e+02,0.000000000000000000e+00
1.050000000000000000e+01,1.100000000000000000e+03,2.803750038146972656e+00,1.487500071525573730e-01,1.884873884591789306e+01,4.170578382283451901e-01,5.537500000000000000e+02,0.000000000000000000e+00
1.050000000000000000e+01,1.100000000000000000e+03,2.775000095367431641e+00,1.437499970197677612e-01,1.930434888973130114e+01,3.989062554389235515e-01,5.550000000000000000e+02,0.000000000000000000e+00
1.050000000000000000e+01,1.100000000000000000e+03,2.607500076293945312e+00,1.637499928474426270e-01,1.592366528359618272e+01,4.269781188428396490e-01,5.587500000000000000e+02,0.000000000000000000e+00
1.050000000000000000e+01,1.150000000000000000e+03,2.752500057220458984e+00,1.437499970197677612e-01,1.914782688198560123e+01,3.956718750223515713e-01,5.450000000000000000e+02,0.000000000000000000e+00
1.050000000000000000e+01,1.150000000000000000e+03,2.863749980926513672e+00,1.700000017881393433e-01,1.684558794590738273e+01,4.868375018782913344e-01,5.387500000000000000e+02,0.000000000000000000e+00
1.050000000000000000e+01,1.150000000000000000e+03,3.163749933242797852e+00,1.612499952316284180e-01,1.962015520495496546e+01,5.101546616494658792e-01,5.525000000000000000e+02,0.000000000000000000e+00
1.050000000000000000e+01,1.150000000000000000e+03,2.954999923706054688e+00,1.825000047683715820e-01,1.619177998080893843e+01,5.392875001668926416e-01,5.800000000000000000e+02,0.000000000000000000e+00
1.050000000000000000e+01,1.150000000000000000e+03,3.056250095367431641e+00,1.937499940395355225e-01,1.577419452587849236e+01,5.921484377607697525e-01,5.575000000000000000e+02,0.000000000000000000e+00
1.050000000000000000e+01,1.150000000000000000e+03,3.088749885559082031e+00,1.975000053644180298e-01,1.563923950209449920e+01,6.100281189672642768e-01,6.000000000000000000e+02,0.000000000000000000e+00
1.050000000000000000e+01,1.150000000000000000e+03,3.177500009536743164e+00,2.012500017881393433e-01,1.578881978287768106e+01,6.394718826010823420e-01,5.700000000000000000e+02,0.000000000000000000e+00
1.050000000000000000e+01,1.150000000000000000e+03,3.519999980926513672e+00,1.887499988079071045e-01,1.864900663924695223e+01,6.643999922037124861e-01,5.987500000000000000e+02,0.000000000000000000e+00
1.050000000000000000e+01,1.150000000000000000e+03,3.288749933242797852e+00,2.049999982118606567e-01,1.604268274111878156e+01,6.741937304340304138e-01,6.312500000000000000e+02,0.000000000000000000e+00
1.050000000000000000e+01,1.150000000000000000e+03,3.397500038146972656e+00,2.025000005960464478e-01,1.677777791677351971e+01,6.879937597498297919e-01,6.162500000000000000e+02,0.000000000000000000e+00
1.050000000000000000e+01,1.200000000000000000e+03,3.532500028610229492e+00,2.037499994039535522e-01,1.733742350402031462e+01,7.197468787238001653e-01,6.062500000000000000e+02,0.000000000000000000e+00
1.050000000000000000e+01,1.200000000000000000e+03,3.306250095367431641e+00,2.000000029802322388e-01,1.653125023050233366e+01,6.612500289268794518e-01,6.037500000000000000e+02,0.000000000000000000e+00
1.050000000000000000e+01,1.200000000000000000e+03,2.931250095367431641e+00,1.850000023841857910e-01,1.584459490589715536e+01,5.422812746316196808e-01,5.950000000000000000e+02,0.000000000000000000e+00
1.050000000000000000e+01,1.200000000000000000e+03,2.741250038146972656e+00,1.724999994039535522e-01,1.589130462387784526e+01,4.728656299464404356e-01,5.725000000000000000e+02,0.000000000000000000e+00
1.050000000000000000e+01,1.200000000000000000e+03,2.894999980926513672e+00,1.474999934434890747e-01,1.962711938719956706e+01,4.270124782055617629e-01,5.112500000000000000e+02,0.000000000000000000e+00
1.050000000000000000e+01,1.200000000000000000e+03,2.583750009536743164e+00,1.612499952316284180e-01,1.602325634692454770e+01,4.166296767175197147e-01,5.387500000000000000e+02,0.000000000000000000e+00
1.050000000000000000e+01,1.200000000000000000e+03,2.829999923706054688e+00,1.449999958276748657e-01,1.951724141474711516e+01,4.103499771296981180e-01,5.462500000000000000e+02,0.000000000000000000e+00
1.050000000000000000e+01,1.200000000000000000e+03,2.713749885559082031e+00,1.387500017881393433e-01,1.955855748169842201e+01,3.765328014738855700e-01,5.612500000000000000e+02,0.000000000000000000e+00
1.050000000000000000e+01,1.200000000000000000e+03,2.512500047683715820e+00,1.599999964237213135e-01,1.570312564901543340e+01,4.019999986439941608e-01,5.387500000000000000e+02,0.000000000000000000e+00
1.050000000000000000e+01,1.200000000000000000e+03,2.777499914169311523e+00,1.487500071525573730e-01,1.867226743270485656e+01,4.131531320989125788e-01,5.375000000000000000e+02,0.000000000000000000e+00
1.050000000000000000e+01,1.250000000000000000e+03,2.723750114440917969e+00,1.375000029802322388e-01,1.980909131203800300e+01,3.745156488530341221e-01,5.500000000000000000e+02,0.000000000000000000e+00
1.050000000000000000e+01,1.250000000000000000e+03,2.430000066757202148e+00,1.299999952316284180e-01,1.869230889145443442e+01,3.158999970912930166e-01,5.087500000000000000e+02,0.000000000000000000e+00
1.050000000000000000e+01,1.250000000000000000e+03,2.148750066757202148e+00,1.287499964237213135e-01,1.668932137043002939e+01,2.766515634104607102e-01,4.650000000000000000e+02,0.000000000000000000e+00
1.050000000000000000e+01,1.250000000000000000e+03,2.095000028610229492e+00,1.099999994039535522e-01,1.904545490874732039e+01,2.304500018984079190e-01,4.337500000000000000e+02,0.000000000000000000e+00
1.050000000000000000e+01,1.250000000000000000e+03,1.706249952316284180e+00,1.075000017881393433e-01,1.587209231567229217e+01,1.834218729250132185e-01,4.000000000000000000e+02,0.000000000000000000e+00
1.050000000000000000e+01,1.250000000000000000e+03,1.926249980926513672e+00,1.000000014901161194e-01,1.926249952223152562e+01,1.926250009629875137e-01,3.925000000000000000e+02,0.000000000000000000e+00
1.050000000000000000e+01,1.250000000000000000e+03,1.822499990463256836e+00,9.125000238418579102e-02,1.997260211336835667e+01,1.663031284749507677e-01,3.800000000000000000e+02,0.000000000000000000e+00
1.050000000000000000e+01,1.250000000000000000e+03,1.742499947547912598e+00,8.624999970197677612e-02,2.020289801239241001e+01,1.502906199567020096e-01,3.600000000000000000e+02,0.000000000000000000e+00
1.050000000000000000e+01,1.250000000000000000e+03,1.769999980926513672e+00,1.012500002980232239e-01,1.748148124164569239e+01,1.792124985963106099e-01,3.712500000000000000e+02,0.000000000000000000e+00
1.050000000000000000e+01,1.250000000000000000e+03,1.830000042915344238e+00,9.624999761581420898e-02,1.901298792982690955e+01,1.761374997675417831e-01,3.487500000000000000e+02,0.000000000000000000e+00
1.050000000000000000e+01,1.300000000000000000e+03,1.628749966621398926e+00,9.000000357627868652e-02,1.809722113222991879e+01,1.465875028207896946e-01,4.012500000000000000e+02,0.000000000000000000e+00
1.050000000000000000e+01,1.300000000000000000e+03,1.541249990463256836e+00,7.874999940395355225e-02,1.957142859846015526e+01,1.213734358303248939e-01,3.750000000000000000e+02,0.000000000000000000e+00
1.050000000000000000e+01,1.300000000000000000e+03,1.495000004768371582e+00,8.250000327825546265e-02,1.812121145893831553e+01,1.233375052943825878e-01,3.375000000000000000e+02,0.000000000000000000e+00
1.050000000000000000e+01,1.300000000000000000e+03,1.192499995231628418e+00,7.374999672174453735e-02,1.616949217951666995e+01,8.794687073901297225e-02,3.362500000000000000e+02,0.000000000000000000e+00
1.050000000000000000e+01,1.300000000000000000e+03,1.241250038146972656e+00,7.249999791383743286e-02,1.712069067397953859e+01,8.999062517620615154e-02,3.037500000000000000e+02,0.000000000000000000e+00
1.050000000000000000e+01,1.300000000000000000e+03,1.039999961853027344e+00,6.374999880790710449e-02,1.631372519687063871e+01,6.629999632835392731e-02,3.412500000000000000e+02,0.000000000000000000e+00
1.050000000000000000e+01,1.300000000000000000e+03,1.216249942779541016e+00,5.874999985098838806e-02,2.070212673811741766e+01,7.145468395706267017e-02,3.050000000000000000e+02,0.000000000000000000e+00
1.050000000000000000e+01,1.300000000000000000e+03,1.228749990463256836e+00,6.125000119209289551e-02,2.006122394364757966e+01,7.526093838065861519e-02,3.000000000000000000e+02,0.000000000000000000e+00
1.050000000000000000e+01,1.300000000000000000e+03,1.173750042915344238e+00,5.624999850988388062e-02,2.086666798238404397e+01,6.602343816496425433e-02,3.100000000000000000e+02,0.000000000000000000e+00
