Windspeed (m/s), Pitch, Voltage (V), Current (A), Resistance (ohm), Power (W), RPM, Load Setting
1.100000000000000000e+01,1.100000000000000000e+03,2.143749952316284180e+00,8.500000089406967163e-02,2.522058740902731699e+01,1.822187478635459712e-01,3.987500000000000000e+02,0.000000000000000000e+00
1.100000000000000000e+01,1.100000000000000000e+03,3.147500038146972656e+00,1.087500005960464478e-01,2.894252892777821629e+01,3.422906310245394934e-01,4.425000000000000000e+02,0.000000000000000000e+00
1.100000000000000000e+01,1.100000000000000000e+03,3.997499942779541016e+00,1.574999988079071045e-01,2.538095220975234056e+01,6.296062362223864284e-01,5.287500000000000000e+02,0.000000000000000000e+00
1.100000000000000000e+01,1.100000000000000000e+03,4.951250076293945312e+00,2.000000029802322388e-01,2.475625001257285618e+01,9.902500300146641621e-01,6.375000000000000000e+02,0.000000000000000000e+00
1.100000000000000000e+01,1.100000000000000000e+03,5.710000038146972656e+00,2.212499976158142090e-01,2.580791005504101676e+01,1.263337494826316743e+00,6.825000000000000000e+02,0.000000000000000000e+00
1.100000000000000000e+01,1.100000000000000000e+03,5.235000133514404297e+00,2.150000035762786865e-01,2.434883742528453965e+01,1.125525047427416325e+00,7.000000000000000000e+02,0.000000000000000000e+00
1.100000000000000000e+01,1.100000000000000000e+03,4.418749809265136719e+00,1.837500035762786865e-01,2.404761754157362930e+01,8.119452932551496360e-01,6.400000000000000000e+02,0.000000000000000000e+00
1.100000000000000000e+01,1.100000000000000000e+03,3.832499980926513672e+00,1.462499946355819702e-01,2.620512903590961074e+01,5.605031016513706277e-01,5.800000000000000000e+02,0.000000000000000000e+00
1.100000000000000000e+01,1.100000000000000000e+03,3.015000104904174805e+00,1.212500035762786865e-01,2.486597951320826638e+01,3.655687735021118101e-01,5.212500000000000000e+02,0.000000000000000000e+00
1.100000000000000000e+01,1.100000000000000000e+03,2.704999923706054688e+00,9.125000238418579102e-02,2.964383400580435080e+01,2.468312494873998730e-01,4.712500000000000000e+02,0.000000000000000000e+00
1.100000000000000000e+01,1.100000000000000000e+03,2.158750057220458984e+00,7.249999791383743286e-02,2.977586371500346729e+01,1.565093746449797152e-01,4.187500000000000000e+02,0.000000000000000000e+00
1.100000000000000000e+01,1.100000000000000000e+03,1.552500009536743164e+00,6.250000000000000000e-02,2.484000015258789062e+01,9.703125059604644775e-02,3.637500000000000000e+02,0.000000000000000000e+00
1.100000000000000000e+01,1.100000000000000000e+03,1.377500057220458984e+00,4.500000178813934326e-02,3.061111116630059570e+01,6.198750503808270196e-02,3.437500000000000000e+02,0.000000000000000000e+00
1.100000000000000000e+01,1.100000000000000000e+03,9.662500023841857910e-01,3.999999910593032837e-02,2.415625059953892162e+01,3.864999923147260930e-02,2.950000000000000000e+02,0.000000000000000000e+00
1.100000000000000000e+01,1.100000000000000000e+03,9.325000047683715820e-01,3.249999880790710449e-02,2.869230889145443442e+01,3.030624904334544567e-02,2.900000000000000000e+02,0.000000000000000000e+00
1.100000000000000000e+01,1.100000000000000000e+03,7.124999761581420898e-01,2.125000022351741791e-02,3.352941029005810947e+01,1.514062465261667434e-02,2.487500000000000000e+02,0.000000000000000000e+00
1.100000000000000000e+01,1.100000000000000000e+03,4.149999916553497314e-01,1.499999966472387314e-02,2.766666672875484068e+01,6.224999735690656122e-03,2.562500000000000000e+02,0.000000000000000000e+00
1.100000000000000000e+01,1.100000000000000000e+03,3.037500083446502686e-01,9.999999776482582092e-03,3.037500151339921928e+01,3.037500015553085131e-03,2.512500000000000000e+02,0.000000000000000000e+00
1.100000000000000000e+01,1.100000000000000000e+03,3.087500035762786865e-01,9.999999776482582092e-03,3.087500104773792131e+01,3.087499966751783287e-03,2.325000000000000000e+02,0.000000000000000000e+00
1.100000000000000000e+01,1.150000000000000000e+03,2.675000131130218506e-01,6.250000093132257462e-03,4.280000146031377284e+01,1.671875106869266658e-03,2.150000000000000000e+02,0.000000000000000000e+00
1.100000000000000000e+01,1.150000000000000000e+03,4.937500059604644775e-01,1.624999940395355225e-02,3.038461686591430322e+01,8.023437302559610629e-03,2.537500000000000000e+02,0.000000000000000000e+00
1.100000000000000000e+01,1.150000000000000000e+03,1.091249942779541016e+00,3.999999910593032837e-02,2.728124917927196336e+01,4.364999673552816262e-02,2.575000000000000000e+02,0.000000000000000000e+00
1.100000000000000000e+01,1.150000000000000000e+03,1.513749957084655762e+00,6.499999761581420898e-02,2.328846173244116002e+01,9.839374360144148568e-02,3.250000000000000000e+02,0.000000000000000000e+00
1.100000000000000000e+01,1.150000000000000000e+03,2.107500076293945312e+00,8.749999850988388062e-02,2.408571556782237977e+01,1.844062535353003796e-01,3.812500000000000000e+02,0.000000000000000000e+00
1.100000000000000000e+01,1.150000000000000000e+03,2.768749952316284180e+00,1.162500008940696716e-01,2.381720370771651218e+01,3.218671844322233966e-01,4.712500000000000000e+02,0.000000000000000000e+00
1.100000000000000000e+01,1.150000000000000000e+03,3.713749885559082031e+00,1.274999976158142090e-01,2.912745062748498626e+01,4.735031015545132504e-01,5.200000000000000000e+02,0.000000000000000000e+00
1.100000000000000000e+01,1.150000000000000000e+03,4.331250190734863281e+00,1.525000035762786865e-01,2.840163992893563005e+01,6.605156695768243935e-01,5.675000000000000000e+02,0.000000000000000000e+00
1.100000000000000000e+01,1.150000000000000000e+03,4.866250038146972656e+00,1.862500011920928955e-01,2.612751681611031174e+01,9.063390754058957555e-01,5.850000000000000000e+02,0.000000000000000000e+00
1.100000000000000000e+01,1.150000000000000000e+03,5.594999790191650391e+00,2.037499994039535522e-01,2.746012174998359967e+01,1.139981203916669017e+00,6.450000000000000000e+02,0.000000000000000000e+00
1.100000000000000000e+01,1.150000000000000000e+03,6.067500114440917969e+00,2.349999994039535522e-01,2.581914948863970238e+01,1.425862523277103833e+00,7.000000000000000000e+02,0.000000000000000000e+00
1.100000000000000000e+01,1.150000000000000000e+03,6.393750190734863281e+00,2.487500011920928955e-01,2.570351823153319160e+01,1.590445367567241419e+00,7.600000000000000000e+02,0.000000000000000000e+00
1.100000000000000000e+01,1.150000000000000000e+03,6.896249771118164062e+00,2.649999856948852539e-01,2.602358544674920893e+01,1.827506090694669183e+00,8.100000000000000000e+02,0.000000000000000000e+00
1.100000000000000000e+01,1.150000000000000000e+03,7.192500114440917969e+00,2.750000059604644775e-01,2.615454530380974418e+01,1.977937574341893878e+00,8.437500000000000000e+02,0.000000000000000000e+00
1.100000000000000000e+01,1.150000000000000000e+03,7.331250190734863281e+00,2.849999964237213135e-01,2.572368520256116042e+01,2.089406278140842232e+00,8.462500000000000000e+02,0.000000000000000000e+00
1.100000000000000000e+01,1.150000000000000000e+03,7.722499847412109375e+00,3.012500107288360596e-01,2.563485335229865569e+01,2.326403161886332782e+00,8.462500000000000000e+02,0.000000000000000000e+00
1.100000000000000000e+01,1.150000000000000000e+03,7.893750190734863281e+00,3.025000095367431641e-01,2.609504113015919913e+01,2.387859507977964313e+00,8.737500000000000000e+02,0.000000000000000000e+00
1.100000000000000000e+01,1.150000000000000000e+03,7.863749980926513672e+00,3.087500035762786865e-01,2.546963527073684119e+01,2.427932834734022549e+00,9.000000000000000000e+02,0.000000000000000000e+00
1.100000000000000000e+01,1.150000000000000000e+03,7.771249771118164062e+00,3.012500107288360596e-01,2.579667881941850993e+01,2.341089076925811696e+00,8.550000000000000000e+02,0.000000000000000000e+00
