Windspeed (m/s), Pitch, Voltage (V), Current (A), Resistance (ohm), Power (W), RPM, Load Setting
9.000000000000000000e+00,1.100000000000000000e+03,1.249999972060322762e-03,-3.749999916180968285e-03,-3.333333333333333148e-01,-4.687499790452423053e-06,7.875000000000000000e+01,0.000000000000000000e+00
9.000000000000000000e+00,1.100000000000000000e+03,1.249999972060322762e-03,-2.499999944120645523e-03,-5.000000000000000000e-01,-3.124999860301615369e-06,1.300000000000000000e+02,0.000000000000000000e+00
9.000000000000000000e+00,1.100000000000000000e+03,3.500000014901161194e-02,0.000000000000000000e+00,inf,0.000000000000000000e+00,2.137500000000000000e+02,0.000000000000000000e+00
9.000000000000000000e+00,1.100000000000000000e+03,3.125000000000000000e-01,1.374999992549419403e-02,2.272727285042282119e+01,4.296874976716935635e-03,2.837500000000000000e+02,0.000000000000000000e+00
9.000000000000000000e+00,1.100000000000000000e+03,7.024999856948852539e-01,3.500000014901161194e-02,2.007142807725741207e+01,2.458749960400163914e-02,3.250000000000000000e+02,0.000000000000000000e+00
9.000000000000000000e+00,1.100000000000000000e+03,1.065000057220458984e+00,5.874999985098838806e-02,1.812766059441176125e+01,6.256875320300459009e-02,3.275000000000000000e+02,0.000000000000000000e+00
9.000000000000000000e+00,1.100000000000000000e+03,1.046249985694885254e+00,6.125000119209289551e-02,1.708163208705294522e+01,6.408281287103889667e-02,3.875000000000000000e+02,0.000000000000000000e+00
9.000000000000000000e+00,1.100000000000000000e+03,1.218750000000000000e+00,6.250000000000000000e-02,1.950000000000000000e+01,7.617187500000000000e-02,3.562500000000000000e+02,0.000000000000000000e+00
9.000000000000000000e+00,1.100000000000000000e+03,1.154999971389770508e+00,5.624999850988388062e-02,2.053333336865460623e+01,6.496874666959051581e-02,3.500000000000000000e+02,0.000000000000000000e+00
9.000000000000000000e+00,1.150000000000000000e+03,9.375000000000000000e-01,5.874999985098838806e-02,1.595744684898459376e+01,5.507812486030161381e-02,3.737500000000000000e+02,0.000000000000000000e+00
9.000000000000000000e+00,1.150000000000000000e+03,1.133749961853027344e+00,5.874999985098838806e-02,1.929787174006186135e+01,6.660781008992344709e-02,3.862500000000000000e+02,0.000000000000000000e+00
9.000000000000000000e+00,1.150000000000000000e+03,1.247499942779541016e+00,6.250000000000000000e-02,1.995999908447265625e+01,7.796874642372131348e-02,3.512500000000000000e+02,0.000000000000000000e+00
9.000000000000000000e+00,1.150000000000000000e+03,1.274999976158142090e+00,8.250000327825546265e-02,1.545454455144481187e+01,1.051875022128223591e-01,3.887500000000000000e+02,0.000000000000000000e+00
9.000000000000000000e+00,1.150000000000000000e+03,1.527500033378601074e+00,8.874999731779098511e-02,1.721126850189093815e+01,1.355656238652764856e-01,3.712500000000000000e+02,0.000000000000000000e+00
9.000000000000000000e+00,1.150000000000000000e+03,1.452499985694885254e+00,9.000000357627868652e-02,1.613888808864137658e+01,1.307250039070844139e-01,3.862500000000000000e+02,0.000000000000000000e+00
9.000000000000000000e+00,1.150000000000000000e+03,1.591249942779541016e+00,9.749999642372131348e-02,1.632051283226916283e+01,1.551468637302519937e-01,4.075000000000000000e+02,0.000000000000000000e+00
9.000000000000000000e+00,1.150000000000000000e+03,1.556249976158142090e+00,9.499999880790710449e-02,1.638157890196321986e+01,1.478437458798289583e-01,4.000000000000000000e+02,0.000000000000000000e+00
9.000000000000000000e+00,1.150000000000000000e+03,1.777500033378601074e+00,1.024999991059303284e-01,1.734146389154222589e+01,1.821937518320977389e-01,4.225000000000000000e+02,0.000000000000000000e+00
9.000000000000000000e+00,1.150000000000000000e+03,1.754999995231628418e+00,9.000000357627868652e-02,1.949999917215774303e+01,1.579500058472156354e-01,3.850000000000000000e+02,0.000000000000000000e+00
9.000000000000000000e+00,1.200000000000000000e+03,1.637500047683715820e+00,1.037499979138374329e-01,1.578313330708335194e+01,1.698906265310942132e-01,3.987500000000000000e+02,0.000000000000000000e+00
9.000000000000000000e+00,1.200000000000000000e+03,1.863749980926513672e+00,9.624999761581420898e-02,1.936363664512229477e+01,1.793859312206507184e-01,4.300000000000000000e+02,0.000000000000000000e+00
9.000000000000000000e+00,1.200000000000000000e+03,1.850000023841857910e+00,1.000000014901161194e-01,1.849999996274709702e+01,1.850000051409006474e-01,4.287500000000000000e+02,0.000000000000000000e+00
9.000000000000000000e+00,1.200000000000000000e+03,1.748749971389770508e+00,8.749999850988388062e-02,1.998571429909491926e+01,1.530156198907643983e-01,3.787500000000000000e+02,0.000000000000000000e+00
9.000000000000000000e+00,1.200000000000000000e+03,1.659999966621398926e+00,1.012500002980232239e-01,1.639506135047199820e+01,1.680749971151351829e-01,3.962500000000000000e+02,0.000000000000000000e+00
9.000000000000000000e+00,1.200000000000000000e+03,1.509999990463256836e+00,9.624999761581420898e-02,1.568831197784007614e+01,1.453374954819679488e-01,4.100000000000000000e+02,0.000000000000000000e+00
9.000000000000000000e+00,1.200000000000000000e+03,1.710000038146972656e+00,9.749999642372131348e-02,1.753846257301951184e+01,1.667249976038931436e-01,3.812500000000000000e+02,0.000000000000000000e+00
9.000000000000000000e+00,1.200000000000000000e+03,1.686249971389770508e+00,9.499999880790710449e-02,1.774999992157283657e+01,1.601937452718615873e-01,4.162500000000000000e+02,0.000000000000000000e+00
9.000000000000000000e+00,1.200000000000000000e+03,1.663750052452087402e+00,8.124999701976776123e-02,2.047692447357634293e+01,1.351796868033705579e-01,3.925000000000000000e+02,0.000000000000000000e+00
9.000000000000000000e+00,1.200000000000000000e+03,1.482499957084655762e+00,9.125000238418579102e-02,1.624657444766908299e+01,1.352781246185301711e-01,3.825000000000000000e+02,0.000000000000000000e+00
9.000000000000000000e+00,1.250000000000000000e+03,1.726250052452087402e+00,9.375000000000000000e-02,1.841333389282226562e+01,1.618359424173831940e-01,3.837500000000000000e+02,0.000000000000000000e+00
9.000000000000000000e+00,1.250000000000000000e+03,1.368749976158142090e+00,8.250000327825546265e-02,1.659090814265341507e+01,1.129218775201588087e-01,4.125000000000000000e+02,0.000000000000000000e+00
9.000000000000000000e+00,1.250000000000000000e+03,1.448750019073486328e+00,7.750000059604644775e-02,1.869354848943565273e+01,1.122781273417174930e-01,3.700000000000000000e+02,0.000000000000000000e+00
9.000000000000000000e+00,1.250000000000000000e+03,1.198750019073486328e+00,7.249999791383743286e-02,1.653448349747733559e+01,8.690937388204034164e-02,3.437500000000000000e+02,0.000000000000000000e+00
9.000000000000000000e+00,1.250000000000000000e+03,1.196249961853027344e+00,6.750000268220901489e-02,1.772222095286409527e+01,8.074687563367177745e-02,3.800000000000000000e+02,0.000000000000000000e+00
9.000000000000000000e+00,1.250000000000000000e+03,1.245000004768371582e+00,6.875000149011611938e-02,1.810909058594507215e+01,8.559375218302012200e-02,3.450000000000000000e+02,0.000000000000000000e+00
9.000000000000000000e+00,1.250000000000000000e+03,1.178750038146972656e+00,6.499999761581420898e-02,1.813461663666566182e+01,7.661874966919413055e-02,3.537500000000000000e+02,0.000000000000000000e+00
9.000000000000000000e+00,1.250000000000000000e+03,9.487500190734863281e-01,5.874999985098838806e-02,1.614893653582749522e+01,5.573906347919255211e-02,3.387500000000000000e+02,0.000000000000000000e+00
9.000000000000000000e+00,1.250000000000000000e+03,9.950000047683715820e-01,6.125000119209289551e-02,1.624489772086439743e+01,6.094375147819519611e-02,3.287500000000000000e+02,0.000000000000000000e+00
9.000000000000000000e+00,1.250000000000000000e+03,9.212499856948852539e-01,5.750000104308128357e-02,1.602173859100712505e+01,5.297187513839451967e-02,3.487500000000000000e+02,0.000000000000000000e+00
9.000000000000000000e+00,1.300000000000000000e+03,1.125000000000000000e+00,5.999999865889549255e-02,1.875000041909516924e+01,6.749999849125742912e-02,3.750000000000000000e+02,0.000000000000000000e+00
9.000000000000000000e+00,1.300000000000000000e+03,8.349999785423278809e-01,4.749999940395355225e-02,1.757894713726730274e+01,3.966249848306180326e-02,3.537500000000000000e+02,0.000000000000000000e+00
9.000000000000000000e+00,1.300000000000000000e+03,8.662499785423278809e-01,4.374999925494194031e-02,1.979999984673090907e+01,3.789843591582031657e-02,3.287500000000000000e+02,0.000000000000000000e+00
9.000000000000000000e+00,1.300000000000000000e+03,6.025000214576721191e-01,3.375000134110450745e-02,1.785185177826587477e+01,2.033437653221192853e-02,2.962500000000000000e+02,0.000000000000000000e+00
9.000000000000000000e+00,1.300000000000000000e+03,6.125000119209289551e-01,2.749999985098838806e-02,2.227272782690269182e+01,1.684375023655593218e-02,3.037500000000000000e+02,0.000000000000000000e+00
9.000000000000000000e+00,1.300000000000000000e+03,7.087500095367431641e-01,3.624999895691871643e-02,1.955172496360776790e+01,2.569218710642307002e-02,2.950000000000000000e+02,0.000000000000000000e+00
9.000000000000000000e+00,1.300000000000000000e+03,7.412499785423278809e-01,3.750000149011611938e-02,1.976666530900536856e+01,2.779687529988583705e-02,2.875000000000000000e+02,0.000000000000000000e+00
9.000000000000000000e+00,1.300000000000000000e+03,5.375000238418579102e-01,3.125000000000000000e-02,1.720000076293945312e+01,1.679687574505805969e-02,3.037500000000000000e+02,0.000000000000000000e+00
9.000000000000000000e+00,1.300000000000000000e+03,6.825000047683715820e-01,3.249999880790710449e-02,2.100000091699456917e+01,2.218124934136866955e-02,3.012500000000000000e+02,0.000000000000000000e+00
9.000000000000000000e+00,1.300000000000000000e+03,5.975000262260437012e-01,3.624999895691871643e-02,1.648275981845246818e+01,2.165937532745298988e-02,2.750000000000000000e+02,0.000000000000000000e+00
9.000000000000000000e+00,1.350000000000000000e+03,6.962500214576721191e-01,3.750000149011611938e-02,1.856666650109821504e+01,2.610937684215608456e-02,2.925000000000000000e+02,0.000000000000000000e+00
9.000000000000000000e+00,1.350000000000000000e+03,4.650000035762786865e-01,2.999999932944774628e-02,1.550000046566129797e+01,1.394999979548156022e-02,3.037500000000000000e+02,0.000000000000000000e+00
9.000000000000000000e+00,1.350000000000000000e+03,3.187499940395355225e-01,1.624999940395355225e-02,1.961538496807483511e+01,5.179687213152650571e-03,2.700000000000000000e+02,0.000000000000000000e+00
9.000000000000000000e+00,1.350000000000000000e+03,3.137499988079071045e-01,1.499999966472387314e-02,2.091666705471774890e+01,4.706249876925722164e-03,2.562500000000000000e+02,0.000000000000000000e+00
9.000000000000000000e+00,1.350000000000000000e+03,2.912499904632568359e-01,9.999999776482582092e-03,2.912499969732015614e+01,2.912499839533122525e-03,2.562500000000000000e+02,0.000000000000000000e+00
9.000000000000000000e+00,1.350000000000000000e+03,3.325000107288360596e-01,1.624999940395355225e-02,2.046153987229933691e+01,5.403124976158135695e-03,2.437500000000000000e+02,0.000000000000000000e+00
9.000000000000000000e+00,1.350000000000000000e+03,2.512499988079071045e-01,7.499999832361936569e-03,3.350000058983764717e+01,1.884374948940240047e-03,2.387500000000000000e+02,0.000000000000000000e+00
9.000000000000000000e+00,1.350000000000000000e+03,2.387499958276748657e-01,7.499999832361936569e-03,3.183333348855376599e+01,1.790624928683974548e-03,2.437500000000000000e+02,0.000000000000000000e+00
9.000000000000000000e+00,1.350000000000000000e+03,2.887499928474426270e-01,1.250000018626451492e-02,2.309999908357859866e+01,3.609374964376910189e-03,2.362500000000000000e+02,0.000000000000000000e+00
9.000000000000000000e+00,1.350000000000000000e+03,1.899999976158142090e-01,8.750000037252902985e-03,2.171428534935931864e+01,1.662499986216425807e-03,2.300000000000000000e+02,0.000000000000000000e+00
9.000000000000000000e+00,1.400000000000000000e+03,2.612499892711639404e-01,1.125000044703483582e-02,2.322222034577977468e+01,2.939062496088440390e-03,2.525000000000000000e+02,0.000000000000000000e+00
9.000000000000000000e+00,1.400000000000000000e+03,7.000000029802322388e-02,-1.249999972060322762e-03,-5.600000149011615491e+01,-8.749999841675161483e-05,2.287500000000000000e+02,0.000000000000000000e+00
9.000000000000000000e+00,1.400000000000000000e+03,3.749999916180968285e-03,-3.749999916180968285e-03,-1.000000000000000000e+00,-1.406249937135726916e-05,2.000000000000000000e+02,0.000000000000000000e+00
9.000000000000000000e+00,1.400000000000000000e+03,2.499999944120645523e-03,-2.499999944120645523e-03,-1.000000000000000000e+00,-6.249999720603230738e-06,1.687500000000000000e+02,0.000000000000000000e+00
9.000000000000000000e+00,1.400000000000000000e+03,0.000000000000000000e+00,-2.499999944120645523e-03,-0.000000000000000000e+00,-0.000000000000000000e+00,1.750000000000000000e+02,0.000000000000000000e+00
9.000000000000000000e+00,1.400000000000000000e+03,1.249999972060322762e-03,-2.499999944120645523e-03,-5.000000000000000000e-01,-3.124999860301615369e-06,1.537500000000000000e+02,0.000000000000000000e+00
9.000000000000000000e+00,1.400000000000000000e+03,2.499999944120645523e-03,-2.499999944120645523e-03,-1.000000000000000000e+00,-6.249999720603230738e-06,1.537500000000000000e+02,0.000000000000000000e+00
9.000000000000000000e+00,1.400000000000000000e+03,3.749999916180968285e-03,-3.749999916180968285e-03,-1.000000000000000000e+00,-1.406249937135726916e-05,1.550000000000000000e+02,0.000000000000000000e+00
9.000000000000000000e+00,1.400000000000000000e+03,1.249999972060322762e-03,-3.749999916180968285e-03,-3.333333333333333148e-01,-4.687499790452423053e-06,1.612500000000000000e+02,0.000000000000000000e+00
9.000000000000000000e+00,1.400000000000000000e+03,0.000000000000000000e+00,-2.499999944120645523e-03,-0.000000000000000000e+00,-0.000000000000000000e+00,1.475000000000000000e+02,0.000000000000000000e+00
9.000000000000000000e+00,1.450000000000000000e+03,1.249999972060322762e-03,-3.749999916180968285e-03,-3.333333333333333148e-01,-4.687499790452423053e-06,1.825000000000000000e+02,0.000000000000000000e+00
9.000000000000000000e+00,1.450000000000000000e+03,1.249999972060322762e-03,-3.749999916180968285e-03,-3.333333333333333148e-01,-4.687499790452423053e-06,1.350000000000000000e+02,0.000000000000000000e+00
9.000000000000000000e+00,1.450000000000000000e+03,1.249999972060322762e-03,-3.749999916180968285e-03,-3.333333333333333148e-01,-4.687499790452423053e-06,6.500000000000000000e+01,0.000000000000000000e+00
9.000000000000000000e+00,1.450000000000000000e+03,0.000000000000000000e+00,-3.749999916180968285e-03,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.000000000000000000e+00,1.450000000000000000e+03,1.249999972060322762e-03,-2.499999944120645523e-03,-5.000000000000000000e-01,-3.124999860301615369e-06,0.000000000000000000e+00,0.000000000000000000e+00
9.000000000000000000e+00,1.450000000000000000e+03,2.499999944120645523e-03,-3.749999916180968285e-03,-6.666666666666666297e-01,-9.374999580904846107e-06,7.500000000000000000e+00,0.000000000000000000e+00
9.000000000000000000e+00,1.450000000000000000e+03,0.000000000000000000e+00,-2.499999944120645523e-03,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.000000000000000000e+00,1.450000000000000000e+03,0.000000000000000000e+00,-3.749999916180968285e-03,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.000000000000000000e+00,1.450000000000000000e+03,2.499999944120645523e-03,-2.499999944120645523e-03,-1.000000000000000000e+00,-6.249999720603230738e-06,7.500000000000000000e+00,0.000000000000000000e+00
9.000000000000000000e+00,1.450000000000000000e+03,0.000000000000000000e+00,-3.749999916180968285e-03,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
