Windspeed (m/s), Pitch, Voltage (V), Current (A), Resistance (ohm), Power (W), RPM, Load Setting
1.100000000000000000e+01,1.100000000000000000e+03,2.125000022351741791e-02,1.274999976158142090e-01,1.666666715363272766e-01,2.709374977834522191e-03,4.312500000000000000e+02,0.000000000000000000e+00
1.100000000000000000e+01,1.100000000000000000e+03,2.374999970197677612e-02,1.400000005960464478e-01,1.696428542918696769e-01,3.324999972432851614e-03,3.812500000000000000e+02,0.000000000000000000e+00
1.100000000000000000e+01,1.100000000000000000e+03,2.875000052154064178e-02,1.737499982118606567e-01,1.654676306038550815e-01,4.995312539208679459e-03,4.387500000000000000e+02,0.000000000000000000e+00
1.100000000000000000e+01,1.100000000000000000e+03,3.249999880790710449e-02,1.949999928474426270e-01,1.666666666666666574e-01,6.337499535083779278e-03,5.137500000000000000e+02,0.000000000000000000e+00
1.100000000000000000e+01,1.100000000000000000e+03,2.875000052154064178e-02,2.087499946355819702e-01,1.377245569358215016e-01,6.001562454644587818e-03,5.250000000000000000e+02,0.000000000000000000e+00
1.100000000000000000e+01,1.100000000000000000e+03,2.999999932944774628e-02,2.037499994039535522e-01,1.472392609433579580e-01,6.112499845493585271e-03,4.712500000000000000e+02,0.000000000000000000e+00
1.100000000000000000e+01,1.100000000000000000e+03,2.749999985098838806e-02,1.724999994039535522e-01,1.594202895420886168e-01,4.743749957904219716e-03,4.675000000000000000e+02,0.000000000000000000e+00
1.100000000000000000e+01,1.100000000000000000e+03,2.999999932944774628e-02,1.749999970197677612e-01,1.714285705162554296e-01,5.249999793246390434e-03,4.475000000000000000e+02,0.000000000000000000e+00
1.100000000000000000e+01,1.100000000000000000e+03,2.624999918043613434e-02,1.825000047683715820e-01,1.438356081894493488e-01,4.790624975599344637e-03,4.587500000000000000e+02,0.000000000000000000e+00
1.100000000000000000e+01,1.150000000000000000e+03,2.875000052154064178e-02,1.749999970197677612e-01,1.642857200637156678e-01,5.031250005587933893e-03,4.325000000000000000e+02,0.000000000000000000e+00
1.100000000000000000e+01,1.150000000000000000e+03,2.749999985098838806e-02,1.875000000000000000e-01,1.466666658719380789e-01,5.156249972060322762e-03,4.700000000000000000e+02,0.000000000000000000e+00
1.100000000000000000e+01,1.150000000000000000e+03,3.125000000000000000e-02,2.137500047683715820e-01,1.461988271479282564e-01,6.679687649011611938e-03,4.712500000000000000e+02,0.000000000000000000e+00
