Windspeed (m/s), Pitch, Voltage (V), Current (A), Resistance (ohm), Power (W), RPM, Load Setting
1.200000000000000000e+01,1.100000000000000000e+03,8.750000037252902985e-03,3.750000149011611938e-02,2.333333250549107785e-01,3.281250144354999621e-04,3.675000000000000000e+02,0.000000000000000000e+00
1.200000000000000000e+01,1.100000000000000000e+03,2.125000022351741791e-02,1.449999958276748657e-01,1.465517298964061077e-01,3.081249943748115561e-03,3.250000000000000000e+02,0.000000000000000000e+00
1.200000000000000000e+01,1.100000000000000000e+03,3.125000000000000000e-02,2.224999964237213135e-01,1.404494404597138868e-01,6.953124888241291046e-03,3.662500000000000000e+02,0.000000000000000000e+00
1.200000000000000000e+01,1.100000000000000000e+03,3.999999910593032837e-02,2.437500059604644775e-01,1.641025564217553634e-01,9.750000020489091312e-03,4.637500000000000000e+02,0.000000000000000000e+00
1.200000000000000000e+01,1.100000000000000000e+03,4.125000163912773132e-02,3.149999976158142090e-01,1.309523871471192091e-01,1.299375041797756758e-02,4.825000000000000000e+02,0.000000000000000000e+00
1.200000000000000000e+01,1.100000000000000000e+03,4.625000059604644775e-02,3.037500083446502686e-01,1.522633722648950028e-01,1.404843806698918840e-02,4.537500000000000000e+02,0.000000000000000000e+00
1.200000000000000000e+01,1.100000000000000000e+03,3.750000149011611938e-02,2.987500131130218506e-01,1.255230120305610708e-01,1.120312593691052960e-02,4.100000000000000000e+02,0.000000000000000000e+00
1.200000000000000000e+01,1.100000000000000000e+03,3.249999880790710449e-02,2.649999856948852539e-01,1.226415115558792401e-01,8.612499219179170495e-03,4.087500000000000000e+02,0.000000000000000000e+00
1.200000000000000000e+01,1.100000000000000000e+03,3.249999880790710449e-02,2.537499964237213135e-01,1.280788148411926841e-01,8.246874581277374716e-03,3.450000000000000000e+02,0.000000000000000000e+00
1.200000000000000000e+01,1.150000000000000000e+03,3.249999880790710449e-02,2.212499976158142090e-01,1.468926515621535589e-01,7.190624658763411503e-03,3.437500000000000000e+02,0.000000000000000000e+00
1.200000000000000000e+01,1.150000000000000000e+03,3.875000029802322388e-02,2.750000059604644775e-01,1.409090889386894752e-01,1.065625031292438685e-02,5.212500000000000000e+02,0.000000000000000000e+00
1.200000000000000000e+01,1.150000000000000000e+03,3.750000149011611938e-02,3.025000095367431641e-01,1.239669431665296612e-01,1.134375080838800898e-02,3.912500000000000000e+02,0.000000000000000000e+00
1.200000000000000000e+01,1.150000000000000000e+03,4.500000178813934326e-02,3.425000011920928955e-01,1.313868660774131225e-01,1.541250066608190750e-02,4.087500000000000000e+02,0.000000000000000000e+00
1.200000000000000000e+01,1.150000000000000000e+03,4.374999925494194031e-02,3.462499976158142090e-01,1.263537893319649219e-01,1.514843713771552025e-02,4.075000000000000000e+02,0.000000000000000000e+00
1.200000000000000000e+01,1.150000000000000000e+03,4.874999821186065674e-02,3.562499880790710449e-01,1.368421048228650183e-01,1.736718628183009372e-02,4.237500000000000000e+02,0.000000000000000000e+00
1.200000000000000000e+01,1.150000000000000000e+03,4.749999940395355225e-02,3.237499892711639404e-01,1.467181497392077982e-01,1.537812429741025610e-02,4.525000000000000000e+02,0.000000000000000000e+00
