Windspeeds, Voltages, Currents, Resistances, Powers, RPMs, Pitches, Load settings
8.000000000000000000e+00,8.948749542236328125e+00,-5.350000262260437012e-01,-1.672663383843532259e+01,-4.787581239786732112e+00,4.000000000000000000e+01,1.100000000000000000e+03,0.000000000000000000e+00
8.000000000000000000e+00,8.948749542236328125e+00,-5.362499952316284180e-01,-1.668764498239481497e+01,-4.798766899353267945e+00,7.250000000000000000e+01,1.100000000000000000e+03,0.000000000000000000e+00
8.000000000000000000e+00,8.948749542236328125e+00,-5.362499952316284180e-01,-1.668764498239481497e+01,-4.798766899353267945e+00,7.625000000000000000e+01,1.100000000000000000e+03,0.000000000000000000e+00
8.000000000000000000e+00,8.948749542236328125e+00,-5.362499952316284180e-01,-1.668764498239481497e+01,-4.798766899353267945e+00,7.125000000000000000e+01,1.100000000000000000e+03,0.000000000000000000e+00
8.000000000000000000e+00,8.948749542236328125e+00,-5.350000262260437012e-01,-1.672663383843532259e+01,-4.787581239786732112e+00,7.125000000000000000e+01,1.100000000000000000e+03,0.000000000000000000e+00
8.000000000000000000e+00,8.949999809265136719e+00,-5.362499952316284180e-01,-1.668997648270237022e+01,-4.799437355041504816e+00,6.875000000000000000e+01,1.100000000000000000e+03,0.000000000000000000e+00
8.000000000000000000e+00,8.949999809265136719e+00,-5.350000262260437012e-01,-1.672897078603816468e+01,-4.788250132679934268e+00,7.125000000000000000e+01,1.100000000000000000e+03,0.000000000000000000e+00
8.000000000000000000e+00,8.946249961853027344e+00,-5.362499952316284180e-01,-1.668298376019336615e+01,-4.797426499384641829e+00,7.375000000000000000e+01,1.100000000000000000e+03,0.000000000000000000e+00
8.000000000000000000e+00,8.948749542236328125e+00,-5.350000262260437012e-01,-1.672663383843532259e+01,-4.787581239786732112e+00,8.000000000000000000e+01,1.100000000000000000e+03,0.000000000000000000e+00
8.000000000000000000e+00,8.947500228881835938e+00,-5.375000238418579102e-01,-1.664651131534526129e+01,-4.809281586349015924e+00,7.000000000000000000e+01,1.100000000000000000e+03,0.000000000000000000e+00
8.000000000000000000e+00,8.946249961853027344e+00,-5.337499976158142090e-01,-1.676112412517969474e+01,-4.775060895809531303e+00,1.162500000000000000e+02,1.150000000000000000e+03,0.000000000000000000e+00
8.000000000000000000e+00,8.947500228881835938e+00,-5.325000286102294922e-01,-1.680281642844958157e+01,-4.764544127869612566e+00,4.000000000000000000e+01,1.150000000000000000e+03,0.000000000000000000e+00
8.000000000000000000e+00,8.947500228881835938e+00,-5.350000262260437012e-01,-1.672429867340121135e+01,-4.786912857109314245e+00,4.625000000000000000e+01,1.150000000000000000e+03,0.000000000000000000e+00
8.000000000000000000e+00,8.948749542236328125e+00,-5.350000262260437012e-01,-1.672663383843532259e+01,-4.787581239786732112e+00,4.125000000000000000e+01,1.150000000000000000e+03,0.000000000000000000e+00
8.000000000000000000e+00,8.947500228881835938e+00,-5.350000262260437012e-01,-1.672429867340121135e+01,-4.786912857109314245e+00,4.625000000000000000e+01,1.150000000000000000e+03,0.000000000000000000e+00
8.000000000000000000e+00,8.947500228881835938e+00,-5.350000262260437012e-01,-1.672429867340121135e+01,-4.786912857109314245e+00,3.375000000000000000e+01,1.150000000000000000e+03,0.000000000000000000e+00
8.000000000000000000e+00,8.948749542236328125e+00,-5.350000262260437012e-01,-1.672663383843532259e+01,-4.787581239786732112e+00,4.125000000000000000e+01,1.150000000000000000e+03,0.000000000000000000e+00
8.000000000000000000e+00,8.946249961853027344e+00,-5.375000238418579102e-01,-1.664418523725530719e+01,-4.808609567791222617e+00,2.875000000000000000e+01,1.150000000000000000e+03,0.000000000000000000e+00
8.000000000000000000e+00,8.947500228881835938e+00,-5.362499952316284180e-01,-1.668531526050092140e+01,-4.798096955072878700e+00,3.125000000000000000e+01,1.150000000000000000e+03,0.000000000000000000e+00
8.000000000000000000e+00,8.944999694824218750e+00,-5.362499952316284180e-01,-1.668065225988581091e+01,-4.796756043696404959e+00,3.500000000000000000e+01,1.150000000000000000e+03,0.000000000000000000e+00
8.000000000000000000e+00,8.947500228881835938e+00,-5.362499952316284180e-01,-1.668531526050092140e+01,-4.798096955072878700e+00,8.875000000000000000e+01,1.200000000000000000e+03,0.000000000000000000e+00
8.000000000000000000e+00,8.949999809265136719e+00,-5.362499952316284180e-01,-1.668997648270237022e+01,-4.799437355041504816e+00,7.875000000000000000e+01,1.200000000000000000e+03,0.000000000000000000e+00
8.000000000000000000e+00,8.947500228881835938e+00,-5.362499952316284180e-01,-1.668531526050092140e+01,-4.798096955072878700e+00,8.125000000000000000e+01,1.200000000000000000e+03,0.000000000000000000e+00
8.000000000000000000e+00,8.944999694824218750e+00,-5.350000262260437012e-01,-1.671962477819553072e+01,-4.785575071322909935e+00,8.125000000000000000e+01,1.200000000000000000e+03,0.000000000000000000e+00
8.000000000000000000e+00,8.948749542236328125e+00,-5.350000262260437012e-01,-1.672663383843532259e+01,-4.787581239786732112e+00,7.125000000000000000e+01,1.200000000000000000e+03,0.000000000000000000e+00
8.000000000000000000e+00,8.951250076293945312e+00,-5.350000262260437012e-01,-1.673130773364100321e+01,-4.788919025573136423e+00,7.750000000000000000e+01,1.200000000000000000e+03,0.000000000000000000e+00
8.000000000000000000e+00,8.951250076293945312e+00,-5.375000238418579102e-01,-1.665348777533740687e+01,-4.811297129422428043e+00,7.375000000000000000e+01,1.200000000000000000e+03,0.000000000000000000e+00
8.000000000000000000e+00,8.948749542236328125e+00,-5.350000262260437012e-01,-1.672663383843532259e+01,-4.787581239786732112e+00,8.625000000000000000e+01,1.200000000000000000e+03,0.000000000000000000e+00
8.000000000000000000e+00,8.952500343322753906e+00,-5.362499952316284180e-01,-1.669463948331748071e+01,-4.800778266417978557e+00,8.250000000000000000e+01,1.200000000000000000e+03,0.000000000000000000e+00
8.000000000000000000e+00,8.948749542236328125e+00,-5.362499952316284180e-01,-1.668764498239481497e+01,-4.798766899353267945e+00,8.625000000000000000e+01,1.200000000000000000e+03,0.000000000000000000e+00
8.000000000000000000e+00,8.948749542236328125e+00,-5.362499952316284180e-01,-1.668764498239481497e+01,-4.798766899353267945e+00,1.150000000000000000e+02,1.250000000000000000e+03,0.000000000000000000e+00
8.000000000000000000e+00,8.949999809265136719e+00,-5.350000262260437012e-01,-1.672897078603816468e+01,-4.788250132679934268e+00,7.875000000000000000e+01,1.250000000000000000e+03,0.000000000000000000e+00
8.000000000000000000e+00,8.948749542236328125e+00,-5.362499952316284180e-01,-1.668764498239481497e+01,-4.798766899353267945e+00,7.500000000000000000e+01,1.250000000000000000e+03,0.000000000000000000e+00
8.000000000000000000e+00,8.948749542236328125e+00,-5.375000238418579102e-01,-1.664883561915749866e+01,-4.809953092306841427e+00,7.625000000000000000e+01,1.250000000000000000e+03,0.000000000000000000e+00
