Windspeed (m/s), Pitch, Voltage (V), Current (A), Resistance (ohm), Power (W), RPM, Load Setting
200.00,1100.00,0.00,-0.00,-0.00,0.00,8390.00,0.00
200.00,1100.00,0.00,-0.00,-0.00,0.00,107.50,0.00
200.00,1100.00,0.00,-0.00,-0.00,0.00,37.50,0.00
200.00,1100.00,0.00,-0.00,-0.00,0.00,10.00,0.00
200.00,1100.00,0.00,-0.00,-0.00,0.00,0.00,0.00
200.00,1100.00,0.00,-0.00,-0.00,0.00,0.00,0.00
200.00,1100.00,0.00,-0.00,-0.00,0.00,0.00,0.00
200.00,1100.00,0.00,-0.00,-0.00,0.00,0.00,0.00
200.00,1100.00,0.00,-0.00,-0.00,0.00,0.00,0.00
200.00,1100.00,0.00,-0.00,-0.00,0.00,0.00,0.00
200.00,1100.00,0.00,-0.00,-0.00,0.00,0.00,0.00
200.00,1100.00,0.00,-0.00,-0.00,0.00,0.00,0.00
200.00,1100.00,0.00,-0.00,-0.00,0.00,0.00,0.00
200.00,1100.00,0.00,-0.00,-0.00,0.00,0.00,0.00
200.00,1100.00,0.00,-0.00,-0.00,0.00,0.00,0.00
200.00,1100.00,0.00,-0.00,-0.00,0.00,0.00,0.00
200.00,1100.00,0.00,-0.00,-0.00,0.00,0.00,0.00
200.00,1100.00,0.00,-0.00,-0.00,0.00,0.00,0.00
200.00,1100.00,0.00,-0.00,-0.00,0.00,0.00,0.00
200.00,1100.00,0.00,-0.00,-0.00,0.00,0.00,0.00
200.00,1150.00,0.00,-0.00,-0.00,0.00,0.00,0.00
200.00,1150.00,0.00,-0.00,-0.00,0.00,0.00,0.00
200.00,1150.00,0.00,-0.00,-0.00,0.00,0.00,0.00
200.00,1150.00,0.00,-0.00,-0.00,0.00,0.00,0.00
200.00,1150.00,0.00,-0.00,-0.00,0.00,0.00,0.00
200.00,1150.00,0.00,-0.00,-0.00,0.00,0.00,0.00
200.00,1150.00,0.00,-0.00,-0.00,0.00,0.00,0.00
200.00,1150.00,0.00,-0.00,-0.00,0.00,0.00,0.00
200.00,1150.00,0.00,-0.00,-0.00,0.00,0.00,0.00
200.00,1150.00,0.00,-0.00,-0.00,0.00,0.00,0.00
200.00,1150.00,0.00,-0.00,-0.00,0.00,0.00,0.00
200.00,1150.00,0.00,-0.00,-0.00,0.00,0.00,0.00
200.00,1150.00,0.00,-0.00,-0.00,0.00,0.00,0.00
200.00,1150.00,0.00,-0.00,-0.00,0.00,0.00,0.00
200.00,1150.00,0.00,-0.00,-0.00,0.00,0.00,0.00
200.00,1150.00,0.00,-0.00,-0.00,0.00,0.00,0.00
200.00,1150.00,0.00,-0.00,-0.00,0.00,0.00,0.00
200.00,1150.00,0.00,-0.00,-0.00,0.00,0.00,0.00
200.00,1150.00,0.00,-0.00,-0.00,0.00,0.00,0.00
200.00,1200.00,3.01,0.33,9.17,0.99,795.00,0.00
200.00,1200.00,3.22,0.35,9.15,1.14,800.00,0.00
200.00,1200.00,3.42,0.37,9.14,1.29,817.50,0.00
200.00,1200.00,3.65,0.40,9.16,1.46,870.00,0.00
200.00,1200.00,3.83,0.42,9.21,1.61,877.50,0.00
200.00,1200.00,4.01,0.44,9.17,1.77,895.00,0.00
200.00,1200.00,4.18,0.46,9.17,1.91,942.50,0.00
200.00,1200.00,4.34,0.47,9.15,2.06,952.50,0.00
200.00,1200.00,4.49,0.49,9.19,2.20,995.00,0.00
200.00,1200.00,4.61,0.50,9.14,2.33,1035.00,0.00
200.00,1200.00,4.74,0.52,9.16,2.44,1007.50,0.00
200.00,1200.00,4.80,0.53,9.13,2.53,1040.00,0.00
200.00,1200.00,4.89,0.53,9.17,2.60,1125.00,0.00
200.00,1200.00,5.01,0.55,9.16,2.75,1115.00,0.00
200.00,1200.00,5.14,0.56,9.20,2.87,1172.50,0.00
200.00,1200.00,5.16,0.56,9.19,2.89,1165.00,0.00
200.00,1200.00,5.24,0.57,9.20,2.97,1115.00,0.00
200.00,1200.00,5.30,0.58,9.19,3.06,1140.00,0.00
200.00,1200.00,5.32,0.58,9.13,3.07,1105.00,0.00
200.00,1250.00,5.55,0.42,13.13,2.33,1160.00,0.00
200.00,1250.00,5.55,0.43,12.99,2.36,1135.00,0.00
200.00,1250.00,5.62,0.43,13.04,2.43,1170.00,0.00
200.00,1250.00,5.63,0.43,13.10,2.42,1222.50,0.00
200.00,1250.00,5.68,0.43,13.14,2.47,1167.50,0.00
200.00,1250.00,5.70,0.44,13.02,2.48,1225.00,0.00
200.00,1250.00,5.72,0.44,13.11,2.50,1205.00,0.00
200.00,1250.00,5.71,0.44,12.97,2.52,1190.00,0.00
200.00,1250.00,5.72,0.44,13.07,2.50,1210.00,0.00
200.00,1250.00,5.75,0.44,13.07,2.52,1220.00,0.00
200.00,1250.00,5.75,0.44,13.04,2.53,1202.50,0.00
200.00,1250.00,5.71,0.44,12.95,2.51,1197.50,0.00
200.00,1250.00,5.74,0.44,12.98,2.52,1222.50,0.00
200.00,1250.00,5.71,0.44,13.05,2.50,1200.00,0.00
200.00,1250.00,5.71,0.44,13.14,2.48,1170.00,0.00
200.00,1250.00,5.74,0.44,13.07,2.53,1217.50,0.00
200.00,1250.00,5.71,0.44,13.05,2.51,1202.50,0.00
200.00,1250.00,5.76,0.44,13.01,2.55,1180.00,0.00
200.00,1250.00,5.74,0.44,13.09,2.51,1207.50,0.00
200.00,1300.00,3.05,0.70,4.33,2.18,862.50,0.00
200.00,1300.00,3.06,0.71,4.30,2.16,847.50,0.00
200.00,1300.00,3.04,0.71,4.28,2.18,812.50,0.00
200.00,1300.00,3.05,0.71,4.31,2.16,825.00,0.00
200.00,1300.00,3.07,0.71,4.30,2.20,825.00,0.00
200.00,1300.00,3.07,0.72,4.29,2.19,830.00,0.00
200.00,1300.00,3.08,0.71,4.32,2.19,857.50,0.00
200.00,1300.00,3.03,0.71,4.28,2.15,815.00,0.00
200.00,1300.00,3.04,0.70,4.31,2.12,802.50,0.00
200.00,1300.00,3.01,0.71,4.26,2.14,827.50,0.00
200.00,1300.00,3.06,0.71,4.30,2.16,845.00,0.00
200.00,1300.00,3.10,0.72,4.30,2.21,837.50,0.00
200.00,1300.00,3.09,0.73,4.25,2.23,815.00,0.00
200.00,1300.00,3.06,0.72,4.26,2.21,810.00,0.00
200.00,1300.00,3.07,0.71,4.30,2.20,780.00,0.00
200.00,1300.00,3.07,0.71,4.33,2.16,845.00,0.00
200.00,1300.00,3.09,0.72,4.29,2.19,830.00,0.00
200.00,1300.00,3.08,0.72,4.28,2.23,810.00,0.00
200.00,1300.00,3.15,0.67,4.73,2.09,802.50,0.00
200.00,1350.00,2.82,0.39,7.19,1.10,730.00,0.00
200.00,1350.00,2.81,0.39,7.18,1.10,745.00,0.00
200.00,1350.00,2.82,0.39,7.19,1.10,785.00,0.00
200.00,1350.00,2.81,0.39,7.17,1.11,747.50,0.00
200.00,1350.00,2.83,0.39,7.27,1.09,737.50,0.00
200.00,1350.00,2.84,0.40,7.20,1.13,762.50,0.00
200.00,1350.00,2.86,0.40,7.24,1.11,725.00,0.00
200.00,1350.00,2.84,0.40,7.18,1.11,737.50,0.00
200.00,1350.00,2.85,0.40,7.20,1.13,767.50,0.00
200.00,1350.00,2.85,0.39,7.23,1.11,742.50,0.00
200.00,1350.00,2.83,0.39,7.19,1.11,757.50,0.00
200.00,1350.00,2.84,0.39,7.26,1.10,755.00,0.00
200.00,1350.00,2.84,0.39,7.23,1.10,747.50,0.00
200.00,1350.00,2.84,0.40,7.19,1.11,747.50,0.00
200.00,1350.00,2.83,0.39,7.23,1.10,775.00,0.00
200.00,1350.00,2.82,0.39,7.18,1.10,782.50,0.00
200.00,1350.00,2.83,0.40,7.15,1.10,722.50,0.00
200.00,1350.00,2.92,0.29,10.15,0.84,712.50,0.00
200.00,1350.00,3.10,0.19,16.53,0.58,762.50,0.00
200.00,1400.00,2.86,0.09,33.60,0.24,760.00,0.00
200.00,1400.00,2.85,0.09,33.01,0.24,745.00,0.00
200.00,1400.00,2.84,0.09,32.93,0.24,735.00,0.00
200.00,1400.00,2.87,0.09,33.25,0.24,705.00,0.00
200.00,1400.00,2.85,0.09,33.54,0.24,740.00,0.00
200.00,1400.00,2.89,0.09,32.54,0.26,735.00,0.00
200.00,1400.00,2.88,0.09,33.87,0.24,752.50,0.00
200.00,1400.00,2.89,0.09,33.55,0.24,725.00,0.00
200.00,1400.00,2.87,0.09,33.74,0.24,747.50,0.00
200.00,1400.00,2.89,0.09,33.49,0.24,735.00,0.00
200.00,1400.00,2.86,0.09,33.17,0.24,767.50,0.00
200.00,1400.00,2.87,0.09,33.29,0.24,732.50,0.00
200.00,1400.00,2.88,0.09,32.04,0.26,747.50,0.00
200.00,1400.00,2.87,0.09,32.37,0.26,747.50,0.00
200.00,1400.00,2.86,0.09,30.51,0.27,702.50,0.00
200.00,1400.00,2.85,0.09,31.19,0.26,730.00,0.00
200.00,1400.00,2.84,0.09,32.03,0.26,735.00,0.00
200.00,1400.00,2.83,0.09,31.86,0.26,745.00,0.00
200.00,1400.00,2.85,0.09,31.23,0.26,717.50,0.00
200.00,1450.00,2.05,0.06,31.60,0.13,660.00,0.00
200.00,1450.00,2.05,0.06,31.46,0.13,665.00,0.00
200.00,1450.00,2.03,0.06,31.90,0.13,612.50,0.00
200.00,1450.00,2.04,0.06,31.96,0.13,632.50,0.00
200.00,1450.00,2.04,0.06,31.42,0.13,612.50,0.00
200.00,1450.00,2.03,0.06,31.19,0.13,647.50,0.00
200.00,1450.00,2.02,0.06,31.13,0.13,595.00,0.00
200.00,1450.00,2.04,0.06,31.33,0.13,607.50,0.00
200.00,1450.00,2.03,0.06,31.21,0.13,617.50,0.00
200.00,1450.00,2.01,0.06,30.92,0.13,632.50,0.00
200.00,1450.00,1.99,0.06,31.78,0.13,640.00,0.00
200.00,1450.00,2.00,0.06,31.43,0.13,617.50,0.00
200.00,1450.00,2.02,0.06,31.63,0.13,630.00,0.00
200.00,1450.00,2.02,0.06,31.67,0.13,640.00,0.00
200.00,1450.00,2.00,0.06,31.39,0.13,590.00,0.00
200.00,1450.00,1.98,0.06,30.48,0.13,605.00,0.00
200.00,1450.00,2.00,0.06,31.96,0.13,610.00,0.00
200.00,1450.00,2.01,0.06,31.51,0.13,650.00,0.00
200.00,1450.00,2.00,0.06,30.71,0.13,632.50,0.00
200.00,1480.00,1.60,0.08,20.93,0.12,622.50,0.00
200.00,1480.00,1.60,0.08,20.66,0.13,607.50,0.00
200.00,1480.00,1.61,0.08,21.16,0.13,582.50,0.00
200.00,1480.00,1.60,0.08,20.61,0.13,557.50,0.00
200.00,1480.00,1.59,0.08,21.15,0.12,602.50,0.00
200.00,1480.00,1.59,0.08,20.53,0.13,555.00,0.00
200.00,1480.00,1.59,0.08,21.20,0.12,550.00,0.00
200.00,1480.00,1.58,0.08,21.08,0.12,565.00,0.00
200.00,1480.00,1.57,0.08,20.26,0.13,550.00,0.00
200.00,1480.00,1.61,0.08,20.74,0.13,540.00,0.00
200.00,1480.00,1.59,0.08,20.79,0.12,562.50,0.00
200.00,1480.00,1.57,0.08,20.64,0.13,595.00,0.00
200.00,1480.00,1.57,0.08,20.97,0.12,585.00,0.00
200.00,1480.00,1.61,0.08,21.05,0.13,572.50,0.00
200.00,1480.00,1.58,0.08,20.75,0.12,562.50,0.00
200.00,1480.00,1.58,0.08,20.72,0.12,630.00,0.00
200.00,1480.00,1.58,0.08,20.72,0.12,557.50,0.00
200.00,1480.00,1.63,0.08,21.34,0.13,570.00,0.00
