Windspeed (m/s), Pitch, Voltage (V), Current (A), Resistance (ohm), Power (W), RPM, Load Setting
8,1175,1.45,0.29,4.94,0.42,12100,0
8,1175,1.41,0.3,4.71,0.42,622.5,0
8,1175,1.44,0.29,4.89,0.42,617.5,0
8,1175,1.42,0.3,4.77,0.42,595,0
8,1175,1.45,0.29,5.03,0.41,575,0
8,1175,1.41,0.29,4.78,0.41,592.5,0
8,1175,1.4,0.3,4.67,0.42,597.5,0
8,1175,1.43,0.29,4.88,0.42,582.5,0
8,1175,1.44,0.29,4.96,0.42,617.5,0
8,1175,1.44,0.29,4.99,0.41,610,0
8,1175,1.42,0.29,4.88,0.41,595,0
8,1175,1.38,0.3,4.6,0.41,585,0
8,1175,1.39,0.3,4.7,0.41,622.5,0
8,1175,1.42,0.29,4.82,0.42,592.5,0
8,1175,1.43,0.29,4.99,0.41,610,0
8,1175,1.38,0.3,4.64,0.41,615,0
8,1175,1.43,0.29,4.89,0.41,625,0
8,1175,1.37,0.29,4.66,0.41,582.5,0
8,1175,1.43,0.29,4.97,0.41,612.5,0
