Windspeed (m/s), Pitch, Voltage (V), Current (A), Power (W), RPM, R Load (Ohms), Resistance (ohm)
7.00,1100.00,5.50,0.52,2.79,13905.00,10.00,10.52
7.00,1100.00,5.47,0.53,2.92,1015.00,10.00,10.30
7.00,1100.00,5.56,0.52,2.84,1030.00,10.00,10.62
7.00,1100.00,5.57,0.52,2.91,1027.50,10.00,10.72
7.00,1100.00,5.45,0.53,3.00,1027.50,10.00,10.29
7.00,1100.00,5.58,0.54,2.97,1032.50,10.00,10.33
7.00,1100.00,5.53,0.54,3.07,1025.00,10.00,10.25
7.00,1100.00,5.59,0.54,3.03,1022.50,10.00,10.28
7.00,1100.00,5.66,0.54,2.93,1035.00,10.00,10.56
7.00,1100.00,5.51,0.54,3.07,1025.00,10.00,10.13
7.00,1100.00,5.50,0.54,3.10,1030.00,10.00,10.12
7.00,1100.00,5.70,0.54,3.06,1030.00,10.00,10.58
7.00,1100.00,5.66,0.54,3.00,1027.50,10.00,10.51
7.00,1100.00,5.65,0.54,2.97,1037.50,10.00,10.42
7.00,1100.00,5.63,0.53,3.03,1025.00,10.00,10.69
7.00,1100.00,5.56,0.52,3.00,1025.00,10.00,10.63
7.00,1100.00,5.67,0.54,3.01,1025.00,10.00,10.50
7.00,1100.00,5.60,0.53,3.00,1025.00,10.00,10.49
7.00,1100.00,5.40,0.53,2.93,1027.50,10.00,10.24
7.00,1100.00,5.51,0.54,3.03,1032.50,10.00,10.15
7.00,1150.00,5.49,0.53,3.01,1032.50,10.00,10.31
7.00,1150.00,5.42,0.54,3.01,1035.00,10.00,10.12
7.00,1150.00,5.59,0.54,2.93,1022.50,10.00,10.40
7.00,1150.00,5.48,0.52,2.85,1015.00,10.00,10.62
7.00,1150.00,5.53,0.53,2.92,1022.50,10.00,10.48
7.00,1150.00,5.36,0.52,2.79,1017.50,10.00,10.28
7.00,1150.00,5.40,0.53,2.84,1010.00,10.00,10.25
7.00,1150.00,5.51,0.52,2.88,1020.00,10.00,10.52
7.00,1150.00,5.40,0.53,2.85,1015.00,10.00,10.24
7.00,1150.00,5.40,0.51,2.75,1022.50,10.00,10.59
7.00,1150.00,5.51,0.51,2.84,1017.50,10.00,10.71
7.00,1150.00,5.34,0.52,2.89,1022.50,10.00,10.17
7.00,1150.00,5.39,0.52,2.83,1010.00,10.00,10.39
7.00,1150.00,5.35,0.53,2.91,1007.50,10.00,10.14
7.00,1150.00,5.58,0.52,2.79,1032.50,10.00,10.72
7.00,1150.00,5.51,0.53,2.93,1017.50,10.00,10.40
7.00,1150.00,5.36,0.52,2.83,1025.00,10.00,10.24
7.00,1150.00,5.41,0.52,2.85,1020.00,10.00,10.46
7.00,1150.00,5.52,0.51,2.79,1037.50,10.00,10.73
7.00,1180.00,5.47,0.52,2.88,1025.00,10.00,10.43
