Windspeed (m/s), Pitch, Voltage (V), Current (A), Power (W), RPM, R Load (Ohms), Resistance (ohm)
10.00,1100.00,0.00,-0.00,0.00,0.00,5.00,-1.00
10.00,1100.00,0.00,-0.00,0.00,0.00,5.00,-1.00
10.00,1100.00,0.00,-0.00,0.00,0.00,5.00,-1.00
10.00,1100.00,0.00,-0.00,0.00,0.00,5.00,-1.00
10.00,1100.00,0.00,-0.00,0.00,0.00,5.00,-1.00
10.00,1100.00,0.00,-0.00,0.00,0.00,5.00,-1.00
10.00,1100.00,0.00,-0.00,0.00,0.00,5.00,-1.00
10.00,1100.00,0.00,-0.00,0.00,0.00,5.00,-1.00
10.00,1100.00,0.00,-0.00,0.00,0.00,5.00,-1.00
10.00,1100.00,0.00,-0.00,0.00,0.00,5.00,-1.00
10.00,1100.00,0.00,-0.00,0.00,0.00,5.00,-1.00
10.00,1100.00,0.00,-0.00,0.00,0.00,5.00,-1.00
10.00,1100.00,0.00,-0.00,0.00,0.00,5.00,-1.00
10.00,1100.00,0.00,-0.00,0.00,0.00,5.00,-1.00
10.00,1100.00,0.00,-0.00,0.00,0.00,5.00,-1.00
10.00,1100.00,0.00,-0.00,0.00,0.00,5.00,-1.00
10.00,1100.00,0.00,-0.00,0.00,0.00,5.00,-1.00
10.00,1100.00,0.00,-0.00,0.00,0.00,5.00,-1.00
10.00,1100.00,0.00,-0.00,0.00,0.00,5.00,-1.00
10.00,1100.00,12.30,-0.00,0.03,0.00,5.00,-1.00
10.00,1150.00,15.79,-0.00,0.04,0.00,5.00,-1.00
10.00,1150.00,16.00,-0.00,0.04,0.00,5.00,-1.00
10.00,1150.00,15.94,-0.00,0.06,0.00,5.00,-1.00
10.00,1150.00,15.93,-0.00,0.04,0.00,5.00,-1.00
10.00,1150.00,15.86,-0.00,0.08,0.00,5.00,-1.00
10.00,1150.00,15.65,-0.00,0.08,0.00,5.00,-1.00
10.00,1150.00,14.95,-0.00,0.04,0.00,5.00,-1.00
10.00,1150.00,15.70,-0.00,0.04,0.00,5.00,-1.00
10.00,1150.00,14.33,-0.00,0.05,0.00,5.00,-1.00
10.00,1150.00,15.11,-0.00,0.05,0.00,5.00,-1.00
10.00,1150.00,14.56,-0.00,0.04,0.00,5.00,-1.00
10.00,1150.00,14.02,-0.00,0.04,0.00,5.00,-1.00
10.00,1150.00,12.81,-0.00,0.04,0.00,5.00,-1.00
10.00,1150.00,13.64,-0.00,0.05,0.00,5.00,-1.00
10.00,1150.00,14.34,-0.00,0.05,0.00,5.00,-1.00
10.00,1150.00,15.46,-0.00,0.06,0.00,5.00,-1.00
10.00,1150.00,14.42,-0.00,0.05,0.00,5.00,-1.00
10.00,1150.00,13.51,-0.00,0.04,0.00,5.00,-1.00
10.00,1150.00,13.86,-0.00,0.05,0.00,5.00,-1.00
10.00,1200.00,14.08,-0.00,0.06,0.00,5.00,-1.00
10.00,1200.00,15.05,-0.00,0.04,0.00,5.00,-1.00
10.00,1200.00,13.90,-0.00,0.04,0.00,5.00,-1.00
10.00,1200.00,14.07,-0.00,0.05,0.00,5.00,-1.00
10.00,1200.00,15.12,-0.00,0.05,0.00,5.00,-1.00
10.00,1200.00,14.78,-0.00,0.01,0.00,5.00,-1.00
10.00,1200.00,14.86,-0.00,0.05,0.00,5.00,-1.00
10.00,1200.00,13.89,-0.00,0.05,0.00,5.00,-1.00
10.00,1200.00,14.06,-0.00,0.05,0.00,5.00,-1.00
10.00,1200.00,13.95,-0.00,0.01,0.00,5.00,-1.00
10.00,1200.00,13.46,-0.00,0.01,0.00,5.00,-1.00
10.00,1200.00,14.33,-0.00,0.04,0.00,5.00,-1.00
10.00,1200.00,13.86,-0.00,0.04,0.00,5.00,-1.00
10.00,1200.00,13.02,-0.00,0.01,0.00,5.00,-1.00
10.00,1200.00,11.87,-0.00,0.04,0.00,5.00,-1.00
10.00,1200.00,12.07,-0.00,0.05,0.00,5.00,-1.00
10.00,1200.00,13.91,-0.00,0.05,0.00,5.00,-1.00
10.00,1200.00,14.33,-0.00,0.01,0.00,5.00,-1.00
10.00,1200.00,13.83,-0.00,0.04,0.00,5.00,-1.00
10.00,1250.00,12.49,-0.00,0.05,0.00,5.00,-1.00
10.00,1250.00,12.72,-0.00,0.03,0.00,5.00,-1.00
10.00,1250.00,13.31,-0.00,0.05,0.00,5.00,-1.00
10.00,1250.00,12.65,-0.00,0.03,0.00,5.00,-1.00
10.00,1250.00,11.91,-0.00,0.05,0.00,5.00,-1.00
10.00,1250.00,12.29,-0.00,0.03,0.00,5.00,-1.00
10.00,1250.00,12.25,-0.00,0.05,0.00,5.00,-1.00
10.00,1250.00,11.99,-0.00,0.03,0.00,5.00,-1.00
10.00,1250.00,12.69,-0.00,0.05,0.00,5.00,-1.00
10.00,1250.00,12.51,-0.00,0.03,0.00,5.00,-1.00
10.00,1250.00,11.42,-0.00,0.03,0.00,5.00,-1.00
10.00,1250.00,13.51,-0.00,0.04,0.00,5.00,-1.00
10.00,1250.00,12.45,-0.00,0.05,0.00,5.00,-1.00
10.00,1250.00,13.80,-0.00,0.05,0.00,5.00,-1.00
10.00,1250.00,12.05,-0.00,0.05,0.00,5.00,-1.00
10.00,1250.00,12.46,-0.00,0.03,0.00,5.00,-1.00
10.00,1250.00,12.71,-0.00,0.03,0.00,5.00,-1.00
10.00,1250.00,14.14,-0.00,0.04,0.00,5.00,-1.00
10.00,1250.00,12.05,-0.00,0.05,0.00,5.00,-1.00
10.00,1300.00,12.10,-0.00,0.03,0.00,5.00,-1.00
10.00,1300.00,12.87,-0.00,0.05,0.00,5.00,-1.00
10.00,1300.00,13.29,-0.00,0.04,0.00,5.00,-1.00
10.00,1300.00,11.07,-0.00,0.03,0.00,5.00,-1.00
10.00,1300.00,13.56,-0.00,0.01,0.00,5.00,-1.00
10.00,1300.00,12.28,-0.00,0.03,0.00,5.00,-1.00
10.00,1300.00,11.37,-0.00,0.04,0.00,5.00,-1.00
10.00,1300.00,11.34,-0.00,0.03,0.00,5.00,-1.00
10.00,1300.00,12.23,-0.00,0.06,0.00,5.00,-1.00
10.00,1300.00,13.14,-0.00,0.05,0.00,5.00,-1.00
10.00,1300.00,12.14,-0.00,0.06,0.00,5.00,-1.00
10.00,1300.00,12.03,-0.00,0.05,0.00,5.00,-1.00
10.00,1300.00,10.00,-0.00,0.04,0.00,5.00,-1.00
10.00,1300.00,11.23,-0.00,0.04,0.00,5.00,-1.00
10.00,1300.00,10.98,-0.00,0.05,0.00,5.00,-1.00
10.00,1300.00,10.22,-0.00,0.04,0.00,5.00,-1.00
10.00,1300.00,12.10,-0.00,0.03,0.00,5.00,-1.00
10.00,1300.00,11.22,-0.00,0.04,0.00,5.00,-1.00
10.00,1300.00,10.70,-0.00,0.04,0.00,5.00,-1.00
10.00,1350.00,12.78,-0.00,0.04,0.00,5.00,-1.00
10.00,1350.00,11.22,-0.00,0.04,0.00,5.00,-1.00
10.00,1350.00,12.65,-0.00,0.05,0.00,5.00,-1.00
10.00,1350.00,12.66,-0.00,0.05,0.00,5.00,-1.00
10.00,1350.00,12.00,-0.00,0.05,0.00,5.00,-1.00
10.00,1350.00,11.17,-0.00,0.04,0.00,5.00,-1.00
10.00,1350.00,11.57,-0.00,0.04,0.00,5.00,-1.00
10.00,1350.00,11.81,-0.00,0.04,0.00,5.00,-1.00
10.00,1350.00,11.63,-0.00,0.04,0.00,5.00,-1.00
10.00,1350.00,11.69,-0.01,0.06,0.00,5.00,-1.00
10.00,1350.00,11.85,-0.00,0.03,0.00,5.00,-1.00
10.00,1350.00,12.00,-0.00,0.05,0.00,5.00,-1.00
10.00,1350.00,11.05,-0.00,0.03,0.00,5.00,-1.00
10.00,1350.00,10.44,-0.00,0.01,0.00,5.00,-1.00
10.00,1350.00,10.80,-0.00,0.03,0.00,5.00,-1.00
10.00,1350.00,11.93,-0.00,0.03,0.00,5.00,-1.00
10.00,1350.00,11.24,-0.00,0.03,0.00,5.00,-1.00
10.00,1350.00,10.93,-0.00,0.01,0.00,5.00,-1.00
10.00,1350.00,10.97,-0.00,0.05,0.00,5.00,-1.00
10.00,1400.00,10.87,-0.00,0.03,0.00,5.00,-1.00
10.00,1400.00,11.97,-0.00,0.05,0.00,5.00,-1.00
10.00,1400.00,12.22,-0.00,0.03,0.00,5.00,-1.00
10.00,1400.00,10.82,-0.00,0.04,0.00,5.00,-1.00
10.00,1400.00,11.32,-0.00,0.04,0.00,5.00,-1.00
10.00,1400.00,11.00,-0.00,0.03,0.00,5.00,-1.00
10.00,1400.00,9.58,-0.00,0.05,0.00,5.00,-1.00
10.00,1400.00,11.53,-0.00,0.03,0.00,5.00,-1.00
10.00,1400.00,10.60,-0.00,0.01,0.00,5.00,-1.00
10.00,1400.00,11.22,-0.00,0.04,0.00,5.00,-1.00
10.00,1400.00,10.94,-0.00,0.03,0.00,5.00,-1.00
10.00,1400.00,11.06,-0.00,0.04,0.00,5.00,-1.00
10.00,1400.00,10.89,-0.00,0.05,0.00,5.00,-1.00
10.00,1400.00,9.87,-0.00,0.03,0.00,5.00,-1.00
10.00,1400.00,9.35,-0.00,0.05,0.00,5.00,-1.00
10.00,1400.00,11.25,-0.00,0.04,0.00,5.00,-1.00
10.00,1400.00,11.52,-0.00,0.01,0.00,5.00,-1.00
10.00,1400.00,9.98,-0.00,0.01,0.00,5.00,-1.00
10.00,1400.00,10.09,-0.00,0.03,0.00,5.00,-1.00
10.00,1450.00,10.16,-0.00,0.01,0.00,5.00,-1.00
10.00,1450.00,9.39,-0.00,0.03,0.00,5.00,-1.00
10.00,1450.00,6.44,-0.00,0.01,0.00,5.00,-1.00
10.00,1450.00,4.58,-0.00,0.01,0.00,5.00,-1.00
10.00,1450.00,3.20,-0.00,0.01,0.00,5.00,-1.00
10.00,1450.00,3.32,-0.00,0.01,0.00,5.00,-1.00
10.00,1450.00,3.32,-0.00,0.01,0.00,5.00,-1.00
10.00,1450.00,3.34,-0.00,0.01,0.00,5.00,-1.00
10.00,1450.00,3.27,-0.00,0.01,0.00,5.00,-1.00
10.00,1450.00,3.05,-0.00,0.01,0.00,5.00,-1.00
10.00,1450.00,2.98,-0.00,0.01,0.00,5.00,-1.00
10.00,1450.00,3.09,-0.00,0.01,0.00,5.00,-1.00
10.00,1450.00,2.90,-0.00,0.01,0.00,5.00,-1.00
10.00,1450.00,2.87,-0.00,0.01,0.00,5.00,-1.00
10.00,1450.00,3.01,-0.00,0.01,0.00,5.00,-1.00
10.00,1450.00,2.78,-0.00,0.01,0.00,5.00,-1.00
10.00,1450.00,2.82,-0.00,0.01,0.00,5.00,-1.00
