Windspeeds, Voltages, Currents, Resistances, Powers, RPMs, Pitches, Load settings
1.000000000000000000e+01,1.184192067321676589e-11,7.831949042156338692e-04,1.512001751987443665e-08,9.274531927389139507e-15,5.598430519171415654e-08,1.019699776005911218e-11,3.396984249448564697e-09
1.000000000000000000e+01,1.025595697257131178e-08,6.482450687350649332e-10,1.582111066819835443e+01,6.648373532628358467e-18,3.451290512084960938e+01,1.744412232536684705e+22,1.057341187502697873e+21
1.000000000000000000e+01,1.551133220562500261e-19,2.592980496984864658e-09,5.982047386650877420e-11,4.022058189143885614e-28,1.917632589458583814e+31,1.429734089571864241e+34,1.128272793600000000e+10
1.000000000000000000e+01,2.118933381120000000e+11,2.405981447059502010e-12,8.806939819547150202e+22,5.098114402529780875e-01,7.588000860691867288e+31,4.578267620342438560e+21,1.417048883200000000e+10
1.000000000000000000e+01,1.239826297760009766e+01,1.429308105468750000e+04,8.674310969176246382e-04,1.772093776761693880e+05,2.163251875000000000e+05,3.477233408000000000e+09,6.796676010359818758e-33
1.000000000000000000e+01,2.213468270755840000e+14,1.429729632987722814e+34,1.548172619273707922e-20,3.164661178377716593e+48,6.807973245755190205e-33,6.742218756026318769e+22,3.376691712000000000e+09
1.000000000000000000e+01,1.098312353746847578e+27,1.993817407687064753e-19,5.508590453229861833e+45,2.189834289978218079e+08,9.399859700351953506e-04,6.675762310462229731e+26,8.712028502486646175e-04
1.000000000000000000e+01,2.118801671217563650e+23,4.324725523474626243e-05,4.899274323229763963e+27,9.163235666695290880e+18,8.326512738214142912e+26,6.782328587640051865e-10,4.272579099051654339e-05
1.000000000000000000e+01,7.305061296679785982e+28,6.780905281722482414e-10,1.077298825625854744e+38,4.953492872996244685e+19,4.102591333321470302e-08,2.668649967674241452e-09,6.970585034131208195e+22
1.000000000000000000e+01,1.429733346807840670e+34,7.000782149118801074e-31,2.042248017941542893e+64,1.000925169233221095e+04,2.760348042826528850e+20,1.429732108867801384e+34,3.305440590406619234e+21
1.000000000000000000e+01,6.447094524908436597e-10,1.775070975543291174e+28,3.632020698741463837e-38,1.144405036774902989e+19,1.444646535730953474e-08,5.558980963710945318e-31,7.555029101458025738e+31
1.000000000000000000e+01,5.838024508264538781e-10,4.102591333321470302e-08,1.423009028671168297e-02,2.395102875132443517e-17,2.668649967674241452e-09,2.208824218750000000e+03,6.860373105155304074e-07
1.000000000000000000e+01,1.815320230203942055e+31,7.036847408735480177e+28,2.579735106875302790e+02,1.277413145793570501e+60,1.648373533432962299e+22,1.732463198442461594e+19,1.785988425720378192e+31
1.000000000000000000e+01,1.602281494140625000e+02,1.943491739219338549e-19,8.244344248070893732e+20,3.114020847766323690e-17,2.939594555408079195e+29,7.142929500927135253e+31,4.290297908033559393e+24
1.000000000000000000e+01,1.993816115217357639e-19,1.128558668347769887e+27,1.766692482311389491e-46,2.250138459920024872e+08,5.743652066620607343e-31,1.089299569740338271e+27,2.726181378700366316e+20
1.000000000000000000e+01,9.590000152587890625e+00,5.860000252723693848e-01,1.636518726791950940e+01,5.619740331778530162e+00,8.149128417968750000e+02,1.200000000000000000e+03,0.000000000000000000e+00
1.000000000000000000e+01,9.567000389099121094e+00,5.839999914169311523e-01,1.638185022209874830e+01,5.587128145119663714e+00,8.283433227539062500e+02,1.200000000000000000e+03,0.000000000000000000e+00
1.000000000000000000e+01,9.487000465393066406e+00,5.799999833106994629e-01,1.635689782479008514e+01,5.502460111596576553e+00,8.221057739257812500e+02,1.200000000000000000e+03,0.000000000000000000e+00
1.000000000000000000e+01,9.482999801635742188e+00,5.789999961853027344e-01,1.637823810727765661e+01,5.490656848972321313e+00,8.183632812500000000e+02,1.200000000000000000e+03,0.000000000000000000e+00
1.000000000000000000e+01,9.545999526977539062e+00,5.830000042915344238e-01,1.637392702694385349e+01,5.565317765194890853e+00,8.233532714843750000e+02,1.200000000000000000e+03,0.000000000000000000e+00
1.000000000000000000e+01,9.468999862670898438e+00,5.780000090599060059e-01,1.638235244679641056e+01,5.473082006412028022e+00,8.221057739257812500e+02,1.200000000000000000e+03,0.000000000000000000e+00
1.000000000000000000e+01,9.496000289916992188e+00,5.799999833106994629e-01,1.637241476407093543e+01,5.507680009670252730e+00,8.196107788085937500e+02,1.200000000000000000e+03,0.000000000000000000e+00
1.000000000000000000e+01,9.487000465393066406e+00,5.799999833106994629e-01,1.635689782479008514e+01,5.502460111596576553e+00,8.196107788085937500e+02,1.200000000000000000e+03,0.000000000000000000e+00
1.000000000000000000e+01,9.446000099182128906e+00,5.780000090599060059e-01,1.634256046906585880e+01,5.459788142907143538e+00,8.171157836914062500e+02,1.200000000000000000e+03,0.000000000000000000e+00
1.000000000000000000e+01,9.425000190734863281e+00,5.759999752044677734e-01,1.636284825774373886e+01,5.428799876165385285e+00,8.171157836914062500e+02,1.200000000000000000e+03,0.000000000000000000e+00
1.000000000000000000e+01,9.472000122070312500e+00,5.789999961853027344e-01,1.635924038769578814e+01,5.484288034545897972e+00,8.158682861328125000e+02,1.200000000000000000e+03,0.000000000000000000e+00
1.000000000000000000e+01,9.454000473022460938e+00,5.770000219345092773e-01,1.638474889710751015e+01,5.454958480302821044e+00,8.171157836914062500e+02,1.200000000000000000e+03,0.000000000000000000e+00
1.000000000000000000e+01,9.383000373840332031e+00,5.740000009536743164e-01,1.634669051960089448e+01,5.385842223532677053e+00,8.158682861328125000e+02,1.200000000000000000e+03,0.000000000000000000e+00
1.000000000000000000e+01,9.454000473022460938e+00,5.780000090599060059e-01,1.635640194608130926e+01,5.464412359059338087e+00,8.133732299804687500e+02,1.200000000000000000e+03,0.000000000000000000e+00
1.000000000000000000e+01,1.064299964904785156e+01,6.420000195503234863e-01,1.657788056845003766e+01,6.832805982762806707e+00,8.858339843750000000e+02,1.250000000000000000e+03,0.000000000000000000e+00
1.000000000000000000e+01,1.061499977111816406e+01,6.399999856948852539e-01,1.658593751309672371e+01,6.793599701666835244e+00,9.069361572265625000e+02,1.250000000000000000e+03,0.000000000000000000e+00
1.000000000000000000e+01,1.057400035858154297e+01,6.399999856948852539e-01,1.652187592957636397e+01,6.767360078229899045e+00,9.056885986328125000e+02,1.250000000000000000e+03,0.000000000000000000e+00
1.000000000000000000e+01,1.057699966430664062e+01,6.380000114440917969e-01,1.657836908241733909e+01,6.748125906871791813e+00,9.056885986328125000e+02,1.250000000000000000e+03,0.000000000000000000e+00
1.000000000000000000e+01,1.055799961090087891e+01,6.359999775886535645e-01,1.660062890399893831e+01,6.714887515913972038e+00,9.019461059570312500e+02,1.250000000000000000e+03,0.000000000000000000e+00
1.000000000000000000e+01,1.053600025177001953e+01,6.370000243186950684e-01,1.654003116097024417e+01,6.711432416599279804e+00,9.006986083984375000e+02,1.250000000000000000e+03,0.000000000000000000e+00
1.000000000000000000e+01,1.057499980926513672e+01,6.389999985694885254e-01,1.654929551320671877e+01,6.757424862992763792e+00,9.044411010742187500e+02,1.250000000000000000e+03,0.000000000000000000e+00
1.000000000000000000e+01,1.058600044250488281e+01,6.399999856948852539e-01,1.654062606112568190e+01,6.775040131769173968e+00,9.069361572265625000e+02,1.250000000000000000e+03,0.000000000000000000e+00
1.000000000000000000e+01,1.059000015258789062e+01,6.399999856948852539e-01,1.654687560827007076e+01,6.777599946165082656e+00,9.044411010742187500e+02,1.250000000000000000e+03,0.000000000000000000e+00
1.000000000000000000e+01,1.059399986267089844e+01,6.399999856948852539e-01,1.655312515541445961e+01,6.780159760560991344e+00,9.056885986328125000e+02,1.250000000000000000e+03,0.000000000000000000e+00
1.000000000000000000e+01,1.055900001525878906e+01,6.380000114440917969e-01,1.655015646686094044e+01,6.736642130573272880e+00,9.031936035156250000e+02,1.250000000000000000e+03,0.000000000000000000e+00
1.000000000000000000e+01,1.051500034332275391e+01,6.349999904632568359e-01,1.655905590746805700e+01,6.677025117731091086e+00,9.044411010742187500e+02,1.250000000000000000e+03,0.000000000000000000e+00
1.000000000000000000e+01,1.047999954223632812e+01,6.320000290870666504e-01,1.658227699352299211e+01,6.623360015525804556e+00,9.006986083984375000e+02,1.250000000000000000e+03,0.000000000000000000e+00
1.000000000000000000e+01,1.048099994659423828e+01,6.340000033378601074e-01,1.653154557005402481e+01,6.644954001124858678e+00,8.994511108398437500e+02,1.250000000000000000e+03,0.000000000000000000e+00
1.000000000000000000e+01,7.276999950408935547e+00,4.580000042915344238e-01,1.588864603105297846e+01,3.332866008516788270e+00,8.990114746093750000e+02,1.300000000000000000e+03,0.000000000000000000e+00
1.000000000000000000e+01,6.468999862670898438e+00,4.189999997615814209e-01,1.543914049248657783e+01,2.710510940916776690e+00,6.150199584960937500e+02,1.300000000000000000e+03,0.000000000000000000e+00
1.000000000000000000e+01,5.664000034332275391e+00,3.810000121593475342e-01,1.486614134795195952e+01,2.157984081951141775e+00,5.538922119140625000e+02,1.300000000000000000e+03,0.000000000000000000e+00
1.000000000000000000e+01,4.995999813079833984e+00,2.610000073909759521e-01,1.914176119388328345e+01,1.303955988139151145e+00,4.940119628906250000e+02,1.300000000000000000e+03,0.000000000000000000e+00
1.000000000000000000e+01,4.745999813079833984e+00,1.720000058412551880e-01,2.759302123198811429e+01,8.163119955723274757e-01,4.553393249511718750e+02,1.300000000000000000e+03,0.000000000000000000e+00
1.000000000000000000e+01,4.627999782562255859e+00,1.199999973177909851e-01,3.856666571671762256e+01,5.553599614942079654e-01,4.378742370605468750e+02,1.300000000000000000e+03,0.000000000000000000e+00
1.000000000000000000e+01,4.545000076293945312e+00,9.000000357627868652e-02,5.049999884102084025e+01,4.090500231206419812e-01,4.253992004394531250e+02,1.300000000000000000e+03,0.000000000000000000e+00
1.000000000000000000e+01,4.480000019073486328e+00,5.000000074505805969e-02,8.959999904632569212e+01,2.240000042915344380e-01,4.166666564941406250e+02,1.300000000000000000e+03,0.000000000000000000e+00
1.000000000000000000e+01,4.432000160217285156e+00,3.200000151991844177e-02,1.384999984283932406e+02,1.418240118632319025e-01,4.079341430664062500e+02,1.300000000000000000e+03,0.000000000000000000e+00
1.000000000000000000e+01,4.390999794006347656e+00,1.200000010430812836e-02,3.659166463198556016e+02,5.269199798609314200e-02,3.992015991210937500e+02,1.300000000000000000e+03,0.000000000000000000e+00
1.000000000000000000e+01,4.367000102996826172e+00,1.000000047497451305e-03,4.366999895575460869e+03,4.367000310418200915e-03,3.879740600585937500e+02,1.300000000000000000e+03,0.000000000000000000e+00
1.000000000000000000e+01,4.361000061035156250e+00,0.000000000000000000e+00,inf,0.000000000000000000e+00,3.717565002441406250e+02,1.300000000000000000e+03,0.000000000000000000e+00
1.000000000000000000e+01,4.361000061035156250e+00,0.000000000000000000e+00,inf,0.000000000000000000e+00,3.517964172363281250e+02,1.300000000000000000e+03,0.000000000000000000e+00
1.000000000000000000e+01,4.361999988555908203e+00,0.000000000000000000e+00,inf,0.000000000000000000e+00,3.280938110351562500e+02,1.300000000000000000e+03,0.000000000000000000e+00
